Original feature,Chandan rename
History of solid-organ or stem-cell transplant,
History of stroke,
History of stroke or TIA,
"History of sudden, brief, and now resolved episode",
"History of unexplained stillborn, ≥3 spontaneous abortions, or premature birth with toxemia or growth-restricted infant",
History of unilateral weakness,
"History of vagal nerve stimulator (VNS), ketogenic diet, or epilepsy surgery",
History of vascular disease,
History of vertigo,
History of vomiting,Nausea/vomiting
History of worsening headache,Headache
Home,
Home and hobbies (HH),
Horizontal head impulse test (h-HIT),Heart rate
Hormonal therapy,
Hormone use,
Hormone use at VTE onset (if female),Sex/Gender
Hospital days pre-ECMO,
Hospitalization for &ge;2 days,Hospitalization for ≥2 days
Hospitalization within 60 days,
Hostility,
Hours,
How cold is the pain?,
How do they mobilize for about 10 m (33 ft)?,
How dull is the pain?,
How hot is the pain?,
How intense is the pain?,
How itchy is the pain?,
How many characteristics during episode(s)?,
How many drinks containing alcohol did you have on a typical day when you were drinking in the past year?,
How many episodes with the following time-course?,
How much of your time was spent thinking about opioid medications?,
How much urine do you lose each time?,
How often did you have a drink containing alcohol in the past year?,
How often did you have six or more drinks on one occasion in the past year?,
How often do people complain that you are not completing necessary tasks?,
How often do you experience urine leakage?,
"How often do you feel overly active and compelled to do things, like you were driven by a motor?",
How often do you fidget or squirm with your hands or feet when you have to sit down for a long time?,
How often do you have difficulty getting things in order when you have to do a task that requires organization?,
How often do you have problems remembering appointments or obligations?,
"How often do you have trouble wrapping up the final details of a project, once the challenging parts have been done?",
How often does your partner insult you or talk down to you?,
How often does your partner physically hurt you?,
How often does your partner scream or curse at you?,
How often does your partner threaten you with harm?,
How often have others been worried about how you're handling your medications?,
How often have you been in an argument?,
How often have you been worried about how you're handling your medications?,
How often have you borrowed pain medication from someone else?,
How often have you gotten angry with people?,
How often have you had to go to someone other than your prescribing physician to get sufficient pain relief from your medications?,
How often have you had to make an emergency phone call or show up at the clinic without an appointment?,
How often have you had to take more of your medication than prescribed?,
How often have you had to visit the Emergency Room?,
How often have you had trouble controlling your anger?,
How often have you had trouble with thinking clearly or had memory problems?,
How often have you needed to take pain medications belonging to someone else?,
How often have you seriously thought about hurting yourself?,
How often have you taken your medications differently from how they are prescribed?,
How often have you used your pain medicine for symptoms other than for pain?,
How sensitive is the skin to light touch?,
How sharp is the pain?,
How unpleasant is the pain?,
Hygiene activities,
HyperDense Cerebral Artery / Early Infarct on CT,
Hyperbilirubinemia,Bilirubin
Hypercalcemia,
Hypercapnic respiratory failure,
Hyperdense cerebral artery sign on initial CT,
Hyperpigmentation,
Hypertension,
Hypertension (Uncontrolled),Hypertension
Hypertension History,Hypertension
Hypertension history,Hypertension
Hypertension or ≥1 cardiac diseases,Hypertension
Hyperthermia,
Hypervigilance,
Hypoalbuminemia,
Hypochondriasis,
Hypotension,
Hypotension or hypoperfusion within 4 hrs prior to arrest,Hypotension
Hypoxia,
"I felt dizzy, lightheaded, or faint when I read or listened to news about the coronavirus",
I felt nauseous or had stomach problems when I thought about or was exposed to information about the coronavirus,
I felt paralyzed or frozen when I thought about or was exposed to information about the coronavirus,
I had trouble falling or staying asleep because I was thinking about the coronavirus,
I have been able to laugh and see the funny side of things,
I have been anxious or worried for no good reason,
I have been so unhappy that I have been crying,
I have been so unhappy that I have had difficulty sleeping,
I have blamed myself unnecessarily when things went wrong,
I have felt sad or miserable,
I have felt scared or panicky for no very good reason,
I have looked forward with enjoyment to things,
I lost interest in eating when I thought about or was exposed to information about the coronavirus,
ICH location,
ICH volume (cm&sup3;),
ICH volume ≥30mL,
ICP,
ICU admission,
ICU patient,
ICU/CCU,
ICU/CCU stay,
IGHV mutational status,
"IL-6, µ/mL",
INR,
INR  <1.5,INR
INR > 6.5 (PT > 100 sec),INR
INR >1.5,INR
IPH &ge;8 mm or multiple,IPH ≥8 mm or multiple
IPH &gt;4 to &lt;8 mm,IPH >4 to <8 mm
IVH,
Ideal body weight,
"If all these functions are prevented, can the patient make purposeful movements with their hands or arms?",
If emergency surgery,
"If none of these apply, click here to continue to additional criteria",
"If pregnant, have you been hit, slapped, kicked, or otherwise physically hurt by your partner or someone important to you during your pregnancy?",
"If respiratory process present, chronicity",
"If the pain is deep, how intense is the deep pain?",
"If the pain is on the surface, how intense is the surface pain?",
If they cannot walk as above are they able to make some purposeful movements of their legs?,
"If they use a wheelchair, can they stand and walk 1 m (3.28 ft) with the help of one person?",
"If you were to spend the rest of your life with your urinary condition just the way it is now, how would you feel about that?",
IgG,
Ill appearing (abnormal Pediatric Assessment Triangle)?,
Imaging evidence of gout-related joint damage,
Imaging evidence of urate deposition in symptomatic joint/bursa,
Imaging findings characteristic of acute cholecystitis,
Immobility within the last four weeks,
Immobility/stupor,
Immobilization,Immobilized
Immobilization at least 3 days OR surgery in the previous 4 weeks,Immobilized
Immobilization for ≥3 days,Immobilized
Immobilized &ge;7 days,Immobilized
Immobilized ≥7 days,Immobilized
Immobilizing plaster cast,
Immunocompromised status at time of ECMO,
Immunologic phenomena,
Immunosupression,
Impact Peptide1.5,
Impaired consciousness,
Impaired fasting glucose/diabetes,
Impaired mental status,
Improvement with defecation,
Impulsivity,
"In children with constipation, the pain does not resolve with resolution of the constipation (children in whom the pain resolves have functional constipation, not irritable bowel syndrome)",
"In comparison with other people of the&nbsp;same age, how does the patient consider their health status?","In comparison with other people of the same age, how does the patient consider their health status?"
"In general, how would you describe your relationship?",
"In your lifetime, have you ever attempted to kill yourself?",
Inability to bear weight both immediately after injury AND in ED,
Inability to feel,
Inability to remember an important aspect of the traumatic event,
Inadequate propulsive forces as measured with manometry with or without inappropriate contraction of the anal sphincter and/or pelvic floor muscles (as defined by age and sex-appropriate normal values for the technique),Age
Inappropriate contraction of the pelvic floor as measured with anal surface EMG or manometry with adequate propulsive forces during attempted defecation (as defined by age and sex-appropriate normal values for the technique),Age
Incapacitation due to abnormal movements,
Incomplete emptying: How often have you had the sensation of not emptying your bladder?,
Inconsolable,
Incontinence to gas,
Incontinence to liquid stool,
Incontinence to solid stool,
"Increase in goal directed activity (either socially, at work or school, or sexually) or psychomotor agitation (i.e., purposeless non-goal directed activity)",
"Increase in goal directed activity (either socially, at work or school, or sexually) or psychomotor agitation (i.e., purposeless, non-goal directed activity)",
Increase in serum creatinine ≥1.5x above baseline,
Increased muscle tone,
Increased or rising anti-streptolysin O titer or other streptococcal antibodies (anti-DNASE B),
Independent interpretation of tests,
Index admission type,
Indication,
Induration/thickness,
Indwelling intra-arterial device,
Infant &lt;1 year old,Infant <1 year old
Infant <1 year old,
Infant appears generally well,
Infarction (new or old) on CT,
Infection,
Infection source,
Inflammatory articular disease,
Inflammatory back pain,
Inflammatory bowel disease,
Inflammatory-type rash,
Inflated self-esteem or grandiosity,
Information available,
Infratentorial,
Infratentorial origin of hemorrhage,
"Initial CPK >40,000 U/L",
Initial bicarbonate <19 mEq/L (19 mmol/L),
Initial calcium <7.5 mg/dL (1.88 mmol/L),
Initial creatinine,
Initial fetal hematocrit,
Initial fibrinogen,
Initial insomnia,
Initial phosphate,
Initial rhythm,
Initial systolic BP,
Initial triage diastolic blood pressure &ge;110 mmHg,Diastolic BP
Initial troponin,
Injectable sodium phosphates,
Injury Severity Score (ISS),
Injury mechanism,
Inner tension,
Inoculum type,
Inpatient,
Insensible losses,
Insight,
Insomnia during the night,
Insomnia or hypersomnia,
Inspired oxygen,
Instruct patient to hold arm (either or both) up for 10 seconds,
Instrumental Activities of Daily Living score (IADL),
"Insufficient criteria for irritable bowel syndrome, functional dyspepsia, or abdominal migraine",
Insular Ribbon (I),
Insulin,
Insulin use,Insulin
Insulin-dependent diabetes mellitus,Insulin
Insulin-requiring diabetes,Insulin
Intense or prolonged psychological distress at exposure to internal or external cues that symbolize or resemble an aspect of the traumatic event,
Intensity,
Intensive care unit or coronary care unit stay,
Intermittency: How often have you found&nbsp;you stopped and started again several times when you urinated?,Intermittency: How often have you found you stopped and started again several times when you urinated?
Internal Capsule (IC),
Internal organ involved,
Intervention for peripheral vascular disease,
Intervention with timely PCI,
Intoxication,
Intoxication present,
Intra-abdominal metastases,
Intra-aortic balloon pump,
Intra-op cholangiogram planned,
Intracranial carotid artery involvement,
Intracranial hemorrhage on CT,
Intractability,
Intrahospital location before ICU admission,
Intraoperative blood loss,
Intravenous drug use,
Intraventricular hemorrhage,
Intraventricular hemorrhage (IVH) present,Intraventricular hemorrhage
Intubated?,Intubated
Intubation for respiratory distress,Intubated
Involved:uninvolved sFLC ratio ≥100,
"Involvement of at least 3 nodal sites, each with diameter >3 cm",
Iritis/uveitis,
Iron stores,
Irritability on exam,
Irritable behavior and angry outbursts (with little or no provocation) typically expressed as verbal or physical aggression toward people or objects,
Is the adverse event hindering at least one activity of daily living?,
"Is the adverse event hindering walking, preventing the patient from attending their own bodily needs?",
"Is the adverse event leaving the patient bedridden, in need of constant help, incontinent?",
Is the adverse event resulting in any new neurological deficit?,
Is the intubated patient on CMV?,Intubated
Ischemic changes on EKG,ECG
Isolated tenderness of the patella (no other bony tenderness),
Isosource HN,
Item 10: Repeat item 9,
Item 1: Patient maintains starting position without support for 10 seconds,
Item 1: Patient touches bed or table with hemiplegic elbow (shortens hemiplegic side and lengthens unaffected side) and returns to starting position,
"Item 1: Rotates upper trunk 6x (each shoulder moved forward 3x), hemiplegic side must move first, head fixated in starting position",
Item 2: Repeat item 1,
Item 2: Repeat item 1 within 6 seconds,
Item 2: Therapist crosses unaffected leg over hemiplegic leg,
Item 3: Patient crosses unaffected leg over the hemiplegic leg,
Item 3: Repeat item 1,
"Item 3: Rotate lower trunk 6x (each knee moved forward 3x), hemiplegic side must move first, upper trunk fixated in starting position",
Item 4: Patient touches the bed or table with unaffected elbow (shortens unaffected side and lengthens hemiplegic side) and returns to starting position,
Item 4: Repeat item 3 within 6 seconds,
Item 5: Repeat item 4,
Item 6: Repeat item 4,
Item 7: Lifts pelvis from bed or table at hemiplegic side (shortens hemiplegic side and lengthens unaffected side) and returns to starting position,
Item 8: Repeat item 7,
Item 9: Lifts pelvis from bed or table at unaffected side (shortens unaffected side and lengthens hemiplegic side) and returns to starting position,
Jaundice,
Jaw,
Jevity,
Jk(a),
Jk(a) frequency,
Jk(b),
Jk(b) frequency,
Joint involvement,
Joint redness,
Judgment and problem solving (JPS),
Juxtaarticular new bone formation on hand or foot x-ray,
Juxtacordial,
K,
K frequency,
Karnofsky Performance Score,Karnofsky
Karnofsky Performance Status,Karnofsky
Karnofsky Performance Status <80%,Karnofsky
Karnofsky or Lanksy scale,Karnofsky
Karyotype,
Ki-67,
Kidney disease,
Killip Class II-IV,
Killip class (signs/symptoms),
Known CAD (stenosis ≥50%),
"Known CAD, cerebrovascular disease, or peripheral vascular disease",
Known bleeding diathesis,
Known coronary artery disease or &ge;3 risk factors,Known coronary artery disease or ≥3 risk factors
Known hypercoagulable state,
"Known intracranial arteriovenous malformation, neoplasm, or aneurysm",
Known thrombophilia,
Known underlying immunosuppression,
LDH,
LDH &gt;1.5&times; upper limit of normal,LDH
LDH &gt;350,LDH
LDH > 1.5x Upper Limit of Normal,LDH
LDH >600 IU/L,LDH
LDH below upper limit of normal,LDH
LDH elevated,LDH
LDL Cholesterol ≥190mg/dL (4.92 mmol/L),LDL
LDL cholesterol,LDL
LDL in mmol/L (mg/dL),LDL
LKM1 antibody,
LV function or LVEF,
Labile INR,INR
Laboratory data: abnormal liver enzymes,
Laboratory data: evidence of inflammatory response,
Lack of appetite,Appetite
Lack of judgement and insight,
Lack of spontaneity and flow of conversation,
Lactate > 3.5 mmol/L after fluid resuscitation ( 3 mmol/L after full fluid resuscitation (12 hours),Lactate
"Lactate concentration, mmol/L",Lactate
Lactate dehydrogenase,Lactate
"Lactate dehydrogenase, U/L",Lactate
"Lactic acidosis, SBP &lt;90 or SBP drop &ge;40 mm Hg of normal",Acidosis
Lactulose-based osmotic diarrhea,
Large boggy scalp hematoma,
Large vessel occlusion (LVO) present?,
Lassitude,
Lateral cortex immediately rostral to M3 (M5),
Le(a),
Le(a) frequency,
Le(b),
Le(b) frequency,
"Learning that the traumatic event occurred to a close family member/close friend; if actual/threatened death of a family member or friend, event must have been violent or accidental",
Left upper quadrant (splenorenal recess) fluid,
Left ventricular ejection fraction &lt;35%,Left ventricular ejection fraction <35%
Leg claudication,
Leg motor impairment,
Leg weakness,
Legs,
Length of stay,
Length of stay (days),Length of stay
"Length of stay before ICU admission, days",Length of stay
Lentiform nucleus (L),
Letters attention test with >2 errors,
Leukemia,
Leukemic phase (>5.0 x10⁹/L circulating malignant cells),
"Leukocyte count, cells/µL",White blood cell count
Leukocyte left shift,White blood cell count
"Leukocytes, G/L",White blood cell count
Leukocytosis,
"Leukocytosis >10,000",
Leukocyturia,
Leukopenia or lymphopenia,
Level of consciousness,
Level of independence,
Lichenification,
Lifestyle alteration,
Lift a full cup or glass to mouth,
Lift heavy objects,
Limb ischemia,
Limb ischemia for > 6 hours,
Limited neck flexion on examination,
Lips and perioral area,
Little interest or pleasure in doing things?,
Liver cell injury,
Liver comorbidity,
Liver disease,
Liver disease history,
Liver failure,
Liver histology,
Liver histology: biliary changes,
Liver histology: interface hepatitis,
Liver histology: other changes,
Liver histology: predominantly lymphoplasmacytic infiltrate,
Liver histology: rosetting of liver cells,
"Liver, pancreas, and biliary",
Lobular inflammation,
Localized disease - T stage,
Localized tenderness along the deep venous system,
Location (L),
Location of pain,
Location relative to polar lines,
Long term care resident,
"Loose or watery stools, without predominant abdominal pain or bothersome bloating, occurring in >25% of stools",Abdominal pain
Loose stools are rarely present without the use of laxatives,
Loose stools rarely present without use of laxatives,
Looser stools associated with onset of pain,
Loss of consciousness,
Loss of consciousness or syncope,
Loss of interest/pleasure,
Loss of taste or smell,
Low complement,
Low risk factor present,
"Lower (legs, knees, ankles, toes)",
Lower GI,
Lower limb paralysis,
Lowest heart rate,Heart rate
Lowest mean arterial pressure,
Lu(a),
Lu(a) frequency,
Lu(b),
Lu(b) frequency,
Lumpy or hard stools,
Lumpy or hard stools (Bristol Stool Form Scale 1-2) more than one-fourth (25%) of defecations,
Lung contusion,
Lupus headache,Headache
Lymphocytes,
Lymphoma,
Lymphovascular Invasion (LVI),
M,
M frequency,
MAP,
"MAP, mmHg",MAP
MCA cortex lateral to the insular ribbon (M2),
MCV -14 L (<90 fL),
MELD Score,
MI at presentation,
MRI FLAIR or T2 signal changes in the medial temporal lobe that are consistent with infectious or vascular insults,
MRSA colonization within 1 year,
Magnitude of platelet count fall,
Major depression,
Major stigmata of recent hemorrhage,
Major surgery,
Major surgery or serious non-head trauma in the previous 14 days,
Major trauma,
Major vessel involvement,
Makes eye contact with caregiver,
Malaise or weight loss >2 kg,Weight
Male age &gt;60 years,Age
Male patient,Sex/Gender
Male patient with uncontrolled hypertension,Hypertension
Male sex,Sex/Gender
Malignancy History,
Malignancy history,
Malignancy w/ treatment within 6 months or palliative,
Mannerisms,
Mannerisms and posturing,
Manual maneuvers to facilitate defecation,
Manual maneuvers to facilitate more than one-fourth (25%) of defecations,
Marked change in tone,
Marked change in tone (hyper or hypotonia),Marked change in tone
Marked distress regarding binge eating is present,
Marked local inflammation,
Marked physiological reactions to internal or external cues that symbolize or resemble an aspect of the traumatic event,
Markedly diminished interest or participation in significant activities,
Marshall CT classification,
Maternal age < 40 years,Age
Maternal blood volume,
Maximal extent of BE above the GE Junction (M value),
Maximal net ST-segment deviation,
Maximal tenderness in RLQ,
Maximum heart rate,Heart rate
Maximum number reached before next breath,
Mean airway pressure (PAW),
Mean arterial pressure,
Mean arterial pressure OR administration of vasoactive agents required,
"Mean arterial pressure, mmHg",Mean arterial pressure
"Mean central corneal thickness, µm",
"Mean intraocular pressure, mmHg",Mean intraocular pressure
"Mean pattern standard deviation, dB",
Mean right atrial pressure &gt;20 mmHg within 1 year on right heart catheterization,Mean right atrial pressure >20 mmHg within 1 year on right heart catheterization
Mean vertical cup-to-disc ratio by contour,
Measured phenytoin level,
Measured serum osm,
Mechanically ventilated before ECMO initiated,
Mechanism: blunt trauma or fall,
Medical noncardiac diagnosis on admission,
"Medical or social reason for admission >24 hr (infection, malignancy, no support system)",
Medication usage predisposing to bleeding,
Medium/low parental education,
"Medullary blasts, %",
Melena present,
Memory (M),
Meningitis,
Menopausal status,
Mental health disorders,
Metastases to the major internal organs,
Metastasis,
Metastasis category,
Metastatic cancer,
Metastatic disease - M stage,
Metastatic disease - N stage,
Metastatic or hematologic cancer,
Method of detection of SLN metastases,
Method of transmission,
Microbiological evidence,
Microorganisms in a vegetation,
Midline spinal tenderness present,
Migration of pain to RLQ,
Migration of pain to the right lower quadrant,
Mild to moderate COVID-19 disease,
Mini Mental Health Status,
Mini Nutritional Assessment,
Minimum systolic blood pressure,
Mitgehen,
Mitral vegetation,
Mobility,
Mobility on level surfaces,
Mode of surgery,
Moderate to severe CKD,
Modified Mallampati Classification,
"Modified Rankin Scale >1, prestroke",
Moisture,
Monoarthralgia,
Monocytes,
Mood disturbance and change in functioning are observable by others,
"Mood disturbance sufficiently severe to cause marked impairment in social/occupational functioning, or needs hospitalization to prevent harm to self or others, or there are psychotic features",
"More talkative than usual, or pressure to keep talking",
Moro reflex,
Morphology,
Morphology criteria for VT present in both precordial leads V1-2 and V6,
Motor Response,
Motor response,
Motor response (upper extremities),
Motor retardation,
Motor score,
Mottling,
Mouth opening,
Move heavy objects,
Moving or speaking so slowly that other people could have noticed? Or so fidgety or restless that you have been moving a lot more than usual?,
Mucosal appearance at endoscopy,
Multi-lobar involvement on chest x-ray,Chest x-ray
Multifocal,
Multilobar opacities in chest radiograph,
Multilobar/bilateral X-ray,
Multiloculated cysts,
Multiple fractures,
Multiple trauma,
Murphy's sign,
Muscle tension,
Muscle tone,
Muscles of facial expression,
Musculoskeletal and skin,
Mutism,
"Myalgia, arthralgia, or arthritis",
Myeloproliferative syndrome,
Myocardial infarct/angina,
Myocardial infarction,
Myocardial infarction (heart attack),
Myocarditis,
Myoclonic jerks,
Myositis,
N,
N frequency,
NCI mucositis grade ≥2,
NIH Stroke Scale,
NIH Stroke Scale (NIHSS) ≥ 10,NIH Stroke Scale
NIHSS >25,NIH Stroke Scale
NIHSS Score,NIH Stroke Scale
NT-proBNP,
"NT-proBNP ≥5,000 ng/L (pg/mL)",
NYHA Class,NYHA
NYHA class,NYHA
NYHA class 3 or 4 heart failure,NYHA
NYHA/WHO functional class,NYHA
NaHCO₃ concentrate,
Nadir platelet count,
Nasal flaring,
Nasal stuffiness,
Nature of lesion,
Nausea,Nausea/vomiting
Nausea & vomiting,Nausea/vomiting
Nausea and vomiting,Nausea/vomiting
Nausea or vomiting,Nausea/vomiting
Nausea/vomiting,
Near drowning,
Nearness to collecting system or sinus (mm),
Neck circumference,
Neck movement,
Neck pain or stiffness,
Neck vein distention,
"Neck, shoulders, hips",
Needs help taking meds,
Negative endoscopic ultrasound,
Negative immunofixation of serum and urine AND disappearance of any soft tissue plasmacytomas AND <5% plasma cells in bone marrow,
"Negative urine analysis (abscence of blood, WBCs, bacteria)",White blood cell count
Negative vocalization,
Negativism,
Neglect or aphasia,
Neoplastic disease,
Nephrotic syndrome,
Nepro,
Neurologic,
Neurologic conditions,
Neurologic deficit,
Neurologic involvement,
"Neurologic: coma, stupor, obtunded patient, vigilance disturbances, confusion, agitation, delirium",
Neurologic: focal neurologic deficit,
Neurologic: intracranial mass effect,
Neurological dysfunction,
Neurological or musculoskeletal dysfunction severely affecting mobility,
Neurological status,
Neurologically intact or with minimal deficits at admission,
Neuromuscular blockade before ECMO,
Neuropsychological conditions,
"Neurosurgery, head trauma, or stroke in past 3 months",
Neutrophil,
Neutrophil to lymphocyte ratio <2.5,
Neutrophil-lymphocyte ratio (NLR),
Neutrophilia,
Neutrophils > upper limit of normal,
New fistula,
New ischemic changes on EKG,ECG
New loss of pulses,Heart rate
New onset sensory or motor neuropathy involving cranial nerves,
New onset stroke,
New shortness of breath,
Newly initiated non-heparin medication known to cause thrombocytopenia,
Nitric oxide before ECMO,
No chronic or underlying illness,
"No diarrhea; or, if diarrhea present, fecal leukocytes <5 WBC/hpf",White blood cell count
No disturbance of consciousness,
No evidence of fecal retention,
No evidence of focal infection,
"No evidence of infant failure to thrive, fever, or illness",Fever
"No evidence of organic, systemic, metabolic or structural disease likely to explain symptoms",
"No evidence of organic, systemic, or metabolic diseases that is likely to explain the symptoms on routine investigations (including at upper endoscopy)",
No explanation for the event after conducting history and physical,
No failure to thrive if caloric intake is adequate,
No history of manic or hypomanic episode,
No history of prematurity,
No major risk cardioembolic source,
No need for CPR by medical provider,
"No or only occasional relationship of pain with physiological events (e.g. eating, defecation, or menses)",
No other apparent cause,
No other health problems,
No other specific cause of stroke identified,
No perinatal antibiotics,
No previous hospitalizations,
No prior BRUE,
"No retching, hematemesis, aspiration, apnea, failure to thrive, feeding or swallowing difficulties, or abnormal posturing",
No symptom relief despite optimal antisecretory therapy,
No unexplained hyperbilirubinemia,Bilirubin
Nocturia: How many times do you typically get up at night to urinate?,
Nocturnal cough,
Node-positive primary,
Nodule diameter,
Nodule spiculation,
Nodule type,
Non weight-bearing,
Non-AD dementia,
Non-alcoholic etiology of cirrhosis,
Non-lacunar ischemic stroke on CT or MRI,
Nondisplaced skull fracture,
Nonscarring alopecia,
Nonstress test (NST),
Normal albumin: 4 g/dL or 40 g/L,
Normal endoscopy and absence of evidence that EoE is the cause for symptoms,
Normal hematocrit,
Nosocomial IE,
Not being able to stop or control worrying,
Not consistently associated with vomiting,Nausea/vomiting
Not hospitalized longer than mother after delivery,
Not preceded by retching,
Not significantly (<20%) related to bowel movements,
Not significantly (<20%) relieved by postural change or acid suppression,
Noticeable abdominal bloating,
Novasource Renal,
Nuclear Grade,
Nuclear diameter,
Nuclear shape,
Nucleoli,
Nulliparity,
Number and Complexity,
Number of CT Slices,
Number of ED beds,
Number of ED visits within 6 months,
Number of PICC lumens,
Number of QTc-prolonging drugs given,
Number of admits in the ED,
Number of brain metastases,
Number of calyces with calculi,
Number of chemotherapy drugs,
Number of clinical attacks,
Number of comorbidities,
Number of cytopenias,
Number of days of headache,Headache
Number of desired units,
Number of extraspinal bone metastases foci,
Number of falls,
Number of hospital admissions during the previous year,
Number of hospital beds,
Number of infusions to recipient,
Number of lesions with objective clinical evidence,
Number of liquid/soft stools,
Number of mature eggs,
Number of metastases in the vertebral body,
Number of negative SLNs,
Number of new brain metastases,
Number of nodules,
Number of patients in waiting room,
Number of plasma volumes to be exchanged,
Number of positive SLNs,
Number of previous surgical admissions,
Number of procedures,
Number of swollen joints (out of 66),
Number of tender joints (out of 68),
Nursing home resident,
"Nursing home, skilled nursing facility, or long term acute care exposure",
Nursing illness severity assessment,
Nutren 2.0,
Nutren Pulmonary,
Nutrition,
Nutritional impairment,
O0: Cardiac pathology not detected or not suspected,
O1: Potentially causal,
O2 Sat,
O2 Sat on room air,
"O2 flow rate, L/min",
O2 saturation <90%,
O2 saturation <95%,
O2: Causal link is uncertain,
O3: Causal link is unlikely but disease is present,
O9: Incomplete workup,
Obesity,BMI
Obesity (BMI &ge;35 kg/m&sup2;),BMI
Obesity (BMI &gt;30 kg/m2),BMI
Obesity (BMI >30),BMI
Obesity (BMI ≥30),BMI
Obesity parameter,BMI
Obesity/overweight,BMI
Objective clinical evidence of 1 lesion with reasonable historical evidence of a prior attack,
Objective clinical evidence of ≥2 lesions on MRI,
Objective evidence of hippocampal amnestic syndrome,
Observation of nystagmus,
Obstetric history,
Obstruction (hydronephrosis),
"Occipital, parietal or temporal scalp hematoma; history of LOC ≥5 sec; not acting normally per parent or severe mechanism of injury?",
Occurs at different intervals (not daily),
Older (Age &gt; 75),Age
Oliguria (urine output 6 hours,
"On average, ≥1 episode of vomiting per week",Nausea/vomiting
On mechanical ventilation,
On oral contraceptives or hormone replacement,
On outpatient metolazone,
"One of the following EEG abnormalities: multifocal spikes, symptomatic generalized discharges, generalized polyspikes, generalized periods of attenuation of background/electrodecrement, or paroxysmal fast activity",
One year of disease progression (retrospective or prospective),
Ongoing hormonal treatment,
Only in patients without measurable serum and urine M protein levels: difference between involved and uninvolved FLC levels,
Only minor or rapidly improving stroke symptoms,
Onset associated with a change in stool form (appearance),
Onset associated with a change in stool frequency,
Onset at age >40 to <90 years,Age
Onset between 6 and 60 months of age,
Onset during exertion,
Onset of Treatment >90 minutes,
Onset of pain linked to more frequent bowel movements,
Onset within 1 day,
Open a new milk carton,
Open car doors,
Open or Dislocated Femur Fracture,
Open previously opened jars,
Operative severity,
Optional additional parameters,
Oral or nasal mucosal ulcers,
Oral ulcers,
Organic brain syndrome,
Organomegaly,
Orientation (O),
Orientation/clouding of sensorium,
"Oriented to city, state, county, hospital name, and floor",
Orthopedic spine,
Orthopnea,
Osmolyte,
Osmotic diarrhea - PEG,
Other,
Other autoimmune disease(s),
Other body fluid,
Other causes for thrombocytopenia,
Other congenital or acquired thrombophilia,
Other enteral solution,
Other etiologies of pancreatitis excluded,
Other fistula,
Other immunosuppressive therapies and conditions,
Other risk factors,
"Over the past two weeks, have you felt down, depressed, or hopeless?",
"Over the past two weeks, have you had thoughts of killing yourself?",
Oxfordshire Community Stroke Project classification,
Oxygen Saturations,Oxygen saturation
Oxygen requirements,
Oxygen saturation,
Oxygen saturation <90%,Oxygen saturation
Oxygenation,
"Oxygenation (PaO2/FiO2), mm Hg",PaO2
"Oxygenation, PaO₂/FiO₂ mm Hg",PaO2
O₂ sat on room air,Oxygen saturation
O₂ sat on room air <95%,Oxygen saturation
O₂ saturation,Oxygen saturation
P1,
P1 frequency,
PACLitaxel-eluting stent,
PE diagnosed while on anticoagulation,
PE is #1 diagnosis OR equally likely,
PE is the most likely diagnosis,
PE most likely diagnosis,
PEEP,
"PEEP, cm H₂O",
PPROM,
PSA at diagnosis (ng/mL),PSA
PSA level,PSA
PSA value,PSA
PSA1,PSA
PSA2,PSA
PSA3,PSA
PSA4,PSA
PSA5,PSA
PT,
PT control/reference level,
PT lab normal,
PaCO₂,
PaCO₂ &ge;75 mmHg (&ge;10 kPa),PaCO₂
PaO2,
PaO2 &lt;54 mmHg (or PaO2/FiO2 &lt;250 mmHg),PaO2
PaO2 &lt;65 mmHg or SpO2 &lt;90%,PaO2
PaO2/FiO2 &lt;150 mmHg,PaO2
PaO2/FiO2 ratio,PaO2
PaO₂,PaO2
"PaO₂ &lt;60 mmHg, SaO₂ &le;90%, or PaO₂/FiO₂ &lt;250",PaO2
"PaO₂ &lt;70 mmHg, SaO₂ &le;93%, or PaO₂/FiO₂ &lt;333",PaO2
PaO₂ <59.3 mmHg (7.9 kPa),PaO2
"PaO₂, mmHg",PaO2
PaO₂/FiO₂,PaO2
PaO₂/FiO₂ ratio,PaO2
"PaO₂/FiO₂, if on mechanical ventilation or CPAP",PaO2
Packed RBCs,
Packs of cigarettes smoked per day,
Pain,
Pain 0-1,
Pain associated with vomiting,Nausea/vomiting
"Pain described as burning, cutting, very strong, terrible, feeling of pressure, dull, boring, or 'not so bad'",
"Pain is not explained by another structural or functional gastrointestinal disorder, or other medical condition",
Pain is reproduced by palpation,
Pain limits some aspect of daily functioning,
Pain migration to RIF,
Pain occurred or worsened with inspiration,
Pain on calf compression,
Pain on lower limb palpation and unilateral edema,
"Pain radiates to arm, shoulder, neck, or jaw",
Pain radiating to right arm or shoulder,
Pain relieved by passage of stool,
Pain reproducible by palpation,
Pain reproducible with palpation,
Pain worse with exercise,
Palatal asymmetry/weakness present,
Palpable tender mass in the right upper abdominal quadrant,
Palpitations before syncope,
Pancreatic,
Pancreatic duct diameter,
"Paper speed, mm/sec",
Paracentesis during admission,
Paralysis of arm(s) or leg(s),
"Paralysis, paresis, or recent plaster immobilization of the lower extremity",Immobilized
Paravalvular complication,
Parent with MI before age 60 years,Age
Parent with asthma,
Parental asthma,
Parental history of diabetes,
Paresthesia,
