,CDI,CDI Purpose,,CDI Outcome,CDI Outcome Measure,Follow-up? (Y/N),Direct or Indirect?,Bucket?,Notes,Aaron,,Kenshata,,Working Examples for Buckets
3164,Alberta Stroke Program Early CT Score (ASPECTS),MCA stroke severity using CT data.,1,3164 - CT scan validity in predicting hyperacute stroke,"Symptomatic intracerebral hemorrhage and 3-month functional outcome (Page 1670 - Summary Methods)

*follow-up involved",Y,Indirect,in-person,"The Rankin scale score at 3 months was assessed by a stroke neurologist or nurse stroke practitioner who was not aware of the results of the baseline CT, baseline NIHSS score, or the acute clinical events.",Y,Indirect,Y,Unclear,jed said direct here
3311,Glasgow Prognostic Score (GPS) for Cancer Outcomes,Cancer prognosis based on biomarkers.,1,3311 - prognosis of inoperable non-small-cell lung cancer,Patients died during the follow-up period (Page 1029 - Results),Y,Indirect,database,"Information was abstracted from the case notes by a
specially trained research nurse (LMF). Data for 1997–1999 were
collected retrospectively and that for 2000–2002 prospectively",,,Y,Indirect,
3312,Modified Glasgow Prognostic Score (mGPS) for Cancer Outcomes,Cancer prognosis based on biomarkers.,1,3312 - prognosis of cancer survival based on inflammation,"Survival, overall and cancer-specific, was calculated from the time of cancer diagnosis to death (Page 727 - Statistical Analysis)

*follow-up involved",Y,Indirect,database,,,,Y,Indirect,
3313,Prognostic Index for Cancer Outcomes,Predicts cancer mortality.,1,3313 - predict advanced non-small-cell lung cancer from pre-treatment inflammatory markers,"Computed tomography (CT) imaging of chest and abdomen, followed by metabolic imaging using positron-emission tomography, was used for staging (Page 53 - 2.1 Participant Identification)

*follow-up involved",Y,Indirect,in-person?,prospective study,Y,Indirect,N,,closer to indirect (jed said hybrid)
3315,Khorana Risk Score for Venous Thromboembolism in Cancer Patients,Predicts risk of VTE for cancer patients.,1,3315 - predict chemotherapy-associated thrombosis,"VTE was diagnosed by the treating clinician (Page 4903 - Study Population)

*follow-up",Y,Indirect,database? (even though patients had to come in for chemotherapy),"The study population comprised consecutively enrolled patients in the Awareness of Neutropenia in Chemotherapy (ANC) Study Group Registry, an observational study of cancer patients initiating a new chemotherapy regimen at 115 sites within the United States, balanced for practice volume and geographic location.",,,Y,Indirect,
3381,Asthma Predictive Index (API),Likelihood of childhood asthma.,1,3381 - define risk of asthma,"Parents of enrolled children were asked to complete questionnaires regarding their child’s history of respiratory conditions and health at different ages during childhood (Page 1403 - Methods)

*follow-up involved",Y,Direct,database,"In the present study, we used the longitudinal data available in the Tucson Children’s Respiratory Study to describe predictive indices for asthma during the school years among children having wheezing episodes during the first 3 yr of life.",,,Y ,Direct,
3382,Modified Asthma Predictive Index (mAPI),Predicts future asthma diagnosis.,1,3382 - determine development of asthma,"Proportion of episode-free days during the observation year (Page 1985 - Methods)

*follow-up involved",Y,Direct,in-person,E,,,Y,Direct,
3383,Pediatric Asthma Severity Score (PASS) for Asthma Exacerbation Severity,Severity of pediatric asthma.,1,3383 - evaluate severity of acute asthma,"We defined two dichotomous outcomes. The first was actual disposition - admission versus discharge - for which admission to short-stay unit or hospital were combined. We also defined an outcome of “need for hospitalization,” or the requirement for inpatient care beyond 24 hours, versus not needing hospitalization. (Page 12 - Measures)

*follow-up involved",Y,Direct,in-person,The clinical findings were recorded on standardized asthma documentation forms in use at the two institutions,,,Y,Direct,
3385,Prevention and Incidence of Asthma and Mite Allergy (PIAMA) Risk Score,Risk of asthma for school age children.,1,3385 - evaluate incidence of asthma,Follow-up the study children for 8 years to allow sufficient time for allergic sensitization and clinical manifestations to develop (Page 57 - Design of the PIAMA study),Y,Direct,in-person,in-home visit,,,Y,Direct,
3647,Gail Model for Breast Cancer Risk,Breast CA risk based on demographic and clinical data.,1,3647 - predict breast cancer,"To obtain counts of breast cancers, we analyzed a file containing data on persons with hisotologically confirmed breast cancer (Page 1882 - Projecting long-term probabilities of developing breast cancer)

*follow-up involved",Y,Indirect,database,,,,Y,Indirect,
3676,Revised Natural History Model for Primary Sclerosing Cholangitis,Estimates survival in primary sclerosing cholangitis.,1,3676 - describe a history model for primary sclerosing cholangitis,"Interval between initial referral and patient’s death (Page 689 - Model Development and Validation)

*follow-up involved",Y,Direct,in-person,CKiD cohort,,,Y,Direct,
3803,MAGGIC Risk Calculator for Heart Failure,Estimates 1- and 3- year heart failure mortality.,1,3803 - survival in heart failure,Mortality during follow-up (Page 1406 - Results),Y,Indirect,database,does not describe how patients were followed up,,,Y,Indirect,
3805,LACE Index for Readmission,Predicts 30-day readmission or death.,1,3805 - prognosis after discharge from hospital,Contacted either patients or their principal contacts (identified by each patient at recruitment) one month after discharge. 30-day time frame for our primary outcome. Follow-up (Page 552 - Study Design),Y,Direct,phone,having a phone is in inclusion criteria,,,Y,Direct,
3815,NEXUS Chest CT Decision Instrument for CT Imaging,Identifies clinically significant thoracic injuries in blunt trauma patients.,1,3815 - need for chest CT in blunt trauma,"CT radiology readings (Page 1/17 - Abstract Methods and Findings)

*follow-up involved",Y,Indirect,in-person,"there is mention of ""complete follow-up"" but it is not mentioned anywhere in methods",,,Y,Indirect,rob rodriguez
3817,Simon Broome Diagnostic Criteria for Familial Hypercholesterolemia (FH),Diagnoses familial hypercholesterolemia (FH).,1,3817 - mortality from all causes and coronary heart disease in patients with familial hyperlipidemia,"Standardized mortality ratio, all adults in England and Wales being taken as standard (Page 893 - Abstract main outcome measure)

*follow-up involved",Y,Indirect,database,or is it database to assess mortality?,,,Y,Indirect,
3823,Metroticket Calculator for Hepatocellular Carcinoma (HCC) Survival,Predicts survival for patients with HCC.,1,3823 - prognosis of liver transplantation,"Overall survival was defined as time interval between liver transplantation and death from any cause (Page 36 - Data presentation and study endpoints)

*follow-up",Y,Indirect,database,data from different centers input by specialists,Y,Indirect,N,-,
3838,Michigan Risk Score for PICC-Related Thrombosis,PICC-related DVT.,1,3838 - predict peripherally inserted central catheter-associated thrombosis,"Image confirmed upper-extremity DVT cases (Page 2 - methods)

*follow-up involved",Y,Indirect,database,data from a registry,,,Y,Indirect,
3842,Revised Multiple Myeloma International Staging System (R-ISS),Prognostication of myeloma.,1,3842 - prognosis multiple myeloma,"Primary end point was OS, defined as the time from start of treatment until death as a result of any cause or until the last date the patient was known to be alive (Page 2864 - Patients)

*follow-up involved",Y,Indirect,database,,Y,Indirect,Y,Direct,
3875,Ottawa Subarachnoid Hemorrhage (SAH) Rule for Headache Evaluation,Rules out SAH.,1,3875 - characteristics for subarachnoid hemorrhage,"Subarachnoid haemorrhage, as defined by any of subarachnoid haemorrhage on computed tomography of the head, xanthochromia in the cerebrospinal fluid, or red blood cells in the final sample of cerebrospinal fluid with positive results on angiography. Physicians completed data collection forms before investigations. (Page 1 - Abstract- Main Outcome Measures)

*follow-up involved",Y,Direct,telephone,,,,Y,Direct,
3883,Functional Outcome in Patients With Primary Intracerebral Hemorrhage (FUNC) Score,Likelihood of functional independence after ICH.,1,3883 - functional independence after primary intracerebral hemorrhage,"“functional independence” was defined as Glasgow Outcome Scale >= 4 (Page 2305 - Subjects and Methods)

*follow-up",Y,Direct,database,,Y,Direct,Y,Direct,jed said indirect
3900,Milan Criteria for Liver Transplantation,Assess suitability of patients for liver transplant.,1,3900 - effectiveness of liver transplantation to treat hepatocellular carcinoma,"survival (overall, disease-free, and recurrence free) (Page S45 - Table 1)

*follow-up",N,-,,meta-analysis (not unanimously follow-up on reviews included. ADD THIS TO METHODS),,,N,-,meta-analysis
3902,Risk of Paradoxical Embolism (RoPE) Score,Identifies stroke-related PFO in cryptogenic stroke patients.,1,3902 - identify stroke-related vs incidental patent foramen ovale in cryptogenic stroke,"presence of a patent foramen ovale among patients with cryptogenic stroke (Page 620 - Methods)

*follow-up involved",Y,Indirect,database,,Y,Indirect,N/A,,
3906,EUTOS Score for Chronic Myelogenous Leukemia (CML),CML outcomes.,1,3906 - cryogenic response and progression-free survival,"cryogenic response status and progressed or died within 36 months or had a minimum follow-up of 36 months (Page 686 - Patients)

*follow-up involved",Y,Indirect,database,,,,Y,Indirect,
3916,BODE Index for COPD Survival,COPD survival.,1,3916 - predict health outcome of COPD,"One year mortality (Page 1006 - Methods)

*follow-up involved",Y,Direct,in-person,,,,Y,Direct,
3917,Charlson Comorbidity Index (CCI),10-year survival.,1,3917 - prognostic comorbidity in longitudinal studies,"Survival was measured in months from the date of admission to the hospital (zero time) to the date of death or to 1 yr after admission. As is customary, the patients who were lost to follow-up prior to 1 yr were considered as withdrawn alive as of the last date of follow-up for life table analysis (Page 374 - Follow-up)",Y,Hybrid,in-person,direct for development and indirect for validation,,,Y,Hybrid,
3918,Hestia Criteria for Outpatient Pulmonary Embolism Treatment,Outpatient VTE treatment.,1,"3918 - identify risk of VTE recurrence, major bleeding, and mortality","The primary endpoint was objectively proved recurrent VTE during the 3 months of follow-up. Major bleeding and death within 3 months were defined as secondary endpoints. death resulting from recurrent PE (fatal PE), fatal bleeding, cancer, or another established diagnosis (Page 1502 - Outcomes and follow-up)",Y,Direct,in-person,,,,Y,Direct,
3920,IMPROVE RAM (International Medical Prevention Registry on Venous Thromboembolism Risk Assessment Model),Estimates risk of VTE.,1,3920 - assess risk of VTE,"none

*follow-up involved",Y,Indirect,database,,,,Y,Indirect,
3925,Fong Clinical Risk Score for Colorectal Cancer Recurrence,Predicts outcome for colorectal cancer recurrence.,1,3925 - assess recurrence of colorectal cancer,"5-year and 10-year survival rate

*follow-up involved",Y,Direct,in-person,,,,Y,Direct,
3927,POSSUM for Operative Morbidity and Mortality Risk,Estimates morbidity and mortality for general surgery patients.,1,3927 - morbidity and mortality in surgery patients,"Outcome (dead/alive or complicated/uncomplicated) (Page 357 - Method of analysis)

*follow-up involved",Y,Indirect,database,,,,Y,Indirect,
3928,Endotracheal Tube (ETT) Depth and Tidal Volume Calculator,Estimates ETT depth and tidal volume.,1,3928 - treatment effectiveness for acute lung injury / acute respiratory distress syndrome,"Death before a patient was discharged home and was breathing without assistance. Number of days without ventilator use from day 1 to day 28 (Page 1301 - Methods)

*follow-up involved",Y,Direct,in-person,,Y,Direct,,,
3929,Asymptomatic Myeloma Prognosis,Predicts risk of progression to active myeloma or amyloidosis.,1,3929 - prognosis of multiple myeloma,"Progression to active multiple myeloma (anemia, hypercalcemia, renal insufficiency, or bone lesions) or amyloidosis (positive results on Congo red staining and characteristic clinical features). Follow-up included a review of the medical records of patients at the Mayo Clinic and of death certificates for patients who had died (Page 2583 - Follow-up and study end point)",Y,Indirect,database,,Y,Indirect,,,
3932,Reynolds Risk Score for Cardiovascular Risk in Women,Estimates cardiac risk in women over 45.,1,3932 - cardiovascular disease,"Minimization of the bayes information criterion (Page 611 - Main Outcome Measure) 

Incident myocardial infarction, ischemic stroke, coronary revascularization, and cardiovascular deaths (Page 612 - Methods)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
3935,Pediatric Asthma Score (PAS),Pediatric asthma severity.,1,3935 - health outcome for hospitalized asthmatic children,"Length of stay (LOS), total cost of care, and readmission to the hospital or ED within 72 hours of discharge (Page 511 - Outcomes)

*follow-up involved",N,-,,,N,-,,,no follow up
3942,Troponin-only Manchester Acute Coronary Syndromes (T-MACS) Decision Aid,Rules out ACS.,1,3942 - acute coronary syndrome,"Prevalent acute myocardial infarction or incident death, AMI  or coronary revascularisation within 30 days. (Page 349 - Abstract Methods)

*follow-up involved",Y,Direct,in-person,,Y,Direct,,,
3943,Pittsburgh Response to Endovascular therapy (PRE) Score,LVO stroke patients for endovascularization.,1,3943 - benefit from endovascular therapy,"Final infarct volume 9mL) was determined by measuring the area of the infarct on each slice (diffusion-weighted MRI scan within the first 48 h following treatment or first available non-contrast head CT scan after 24 h of treatment) and then summating individual slice thicknesses of all outlined areas. (Page 784 - Measurements)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
3946,Mirels’ Criteria for Prophylactic Fixation,Fracture risk with bone mets.,1,pathologic fracture through a metastatic lesion in a long bone.,"Scoring of the preirradiation roentgenograms was done separately by three consultant orthopedic surgeons (Page 258 - Materials and Methods) 

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
3948,EGSYS (Evaluation of Guidelines in SYncope Study) Score for Syncope,Identifies cardiac syncope.,1,cardiac syncope,"Diagnosis of cardiac syncope; mortality (Page 1620 - Main outcome measurements)

 In particular mechanical cardiac syncope was diagnosed in the presence of severe valvular stenosis, or other flow obstruction, or when symptoms were present with ECG evidence of acute myocardial ischaemia. Arrhythmic syncope was diagnosed on the basis of a standard ECG, ECG monitoring, 24-h Holter recordings, or during the electrophysiological study. (Page 1621 - Diagnostic criteria)

*follow-up involved",Y,Direct,in-person,,Y,Direct,,,
3949,ROSE (Risk Stratification of Syncope in the Emergency Department) Rule,Morbidity and mortality in syncope patients.,1,syncope,"The primary end point was the combination of serious outcome and all-cause death at 1 month after ED presentation. 

Serious outcome encompassed the following: 
1) acute myocardial infarction (MI) according to the universal definition; 
2) life-threatening arrhythmia (ventricular fibrillation, sustained ventricular tachycardia [120 beats/min], ventricular pause [3 s], ventricular standstill, or asystole); 
3) decision to implant a pacemaker or cardiac defibrillator within 1 month of index collapse; 
4) pulmonary embolus (confirmed on lung perfusion scan or CT pulmonary angiography); 
5) cerebrovascular accident, intracranial hemorrhage, or subarachnoid hemorrhage (demonstrated by brain imaging or lumbar puncture); 
6) hemorrhage requiring a blood transfusion of 2 U; or 
7) acute surgical procedure or endoscopic intervention. Secondary end points were cardiovascular serious outcome (acute MI, arrhythmia, pacemaker/defibrillator implantation, or cardiac procedure) and syncope-related death (death due to cause of presenting syncopal episode). Patients were followed up 1 month after presentation through the hospital Electronic Patient Record system, hospital pacemaker records, radiological reports, and direct contact with the patient or general practitioner.  (Page 714 - Outcome measures and assignment)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
3951,Canadian Syncope Risk Score,Morbidity and mortality in syncope patients.,1,adverse event after syncope,"death, myocardial infarction, arrhythmia, structural heart disease, pulmonary embolism, serious hemorrhage, and procedural interentions within 30 days (Abstract Methods - E289)

*follow-up involved",Y,Direct,telephone,,Yes,Direct,,,
3953,CHALICE (Children's Head injury ALgorithm for the prediction of Important Clinical Events) Rule,Clinically significant head injuries in children.,1,head injury,"death, need for neurosurgical interention or abnormality on a computed tomography scan (Abstract - Design Page 885)

*follow-up involved",N,-,,"if they won't follow up, it was considered N",N,-,,,not everyone followed up
3954,CATCH (Canadian Assessment of Tomography for Childhood Head injury) Rule,Clinically significant head injuries in children.,1,minor head injury,"neurologic intervention and presence of brain injury as determined by CT (Methods - Page 341)

*follow-up involved
",Y,Direct,telephone,,Y,Direct,,,
3955,Palchak (UC Davis) Rule for Pediatric Head Trauma,Clinically significant head injuries in children.,1,3955 - blunt head trauma,"We defined traumatic brain injury requiring acute intervention by 1 or more of the following: the requirement for a neurosurgical procedure, ongoing antiepileptic pharmacotherapy beyond 7 days, the presence of a neurologic deficit that persisted until discharge from the hospital, or 2 or more nights of hospitalization because of treatment of the head injury. (Page 494 - Materials and Methods)

*follow-up involved",Y,Direct,telephone,,Y,Direct,,,
3975,HEART Pathway for Early Discharge in Acute Chest Pain,Early discharge in acute chest pain.,1,3975 - acute chest pain,"Objective cardiac testing (stress testing or angiography) (Methods and Results - Page 1)

*follow-up involved",Y,Hybrid,telephone/database,,Yes,Hybrid,,,
3976,Modified Hoehn and Yahr Scale for Parkinson’s Disease,Parkinson's disease severity.,1,3976 - Parkinsonism,"Combination of clinical data and presumed etiology (Page 428 - Classification)

*follow-up involved",Y,Hybrid,telephone/database,,Yes,Hybrid,,,
3981,Revised International Prognostic Scoring System (IPSS-R) for Myelodysplastic Syndrome (MDS),MDS staging.,1,3981 - prognosis of myelodysplastic syndrome,"Survival, AML evolution (Patient characteristics Page 2455)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
3990,Killip Classification for Heart Failure,ACS mortality.,1,3990 - myocardial infarction mortality,"Mortality after eight months of operation (Page 460 - mortality)

*follow-up involved (assumed but key term not explicit in article)",Y,Indirect,database,,Y,Indirect,,,
3991,Duke Treadmill Score,CAD survival.,1,3991 - coronary artery disease prognosis,"Kaplan-Meier life-table estimates were used to generate cumulative survival curves from the day of catheterization (Page 794 - Statistical Analysis) 

All patients were followed by clinic visit, mailed questionnaire, or telephone interview at 6 months and 1 year after catheterization, and thereafter at yearly intervals (Page 794 - Patients and Methods)

*follow-up involved",Y,Direct,in-person/telephone,,Y,Direct,,,
3994,Ottawa Heart Failure Risk Scale (OHFRS),Heart failure risk (ED patients).,1,3994 - adverse events after having heart failure,"Serious adverse events defined as death from any cause within 30 days of the ED visit, or any of the following within 14 days of the index ED visit, regardless of whether initially admitted: 
1) Admission to a critical care or acute monitoring unit where the patient is too ill to ambulate; this excludes ambulatory telemetry units. 
2) Endotracheal intubation or need for noninvasive ventilation after hospital admission, unless on noninvasive ventilation at home. 

3) MI, as defined by international consensus standards. Either one of the following criteria satis!es the diagnosis for an acute, evolving, or recent MI: 
i) Typical rise and gradual fall of troponin with at least one of the following: a) ischemic symptoms, b) development of pathologic Q waves on the ECG, c) ECG changes indicative of ischemia, or d) coronary artery intervention (e.g., coronary angioplasty). 
ii) Pathologic findings of an acute MI. 

4) Major procedure de!ned as coronary artery bypass graft, percutaneous coronary intervention, other cardiac surgery, or new hemodialysis. 
5) Relapse and hospital admission for patients who were discharged on the initial ED visit, de!ned as a return to the ED for any related medical problem within 14 days followed by admission to hospital; relapse to the ED without associated admission was not considered a SAE. (Page 19 - Outcome Measures)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
4000,FINDRISC (Finnish Diabetes Risk Score),T2DM risk.,1,4000 - diabetes type 2,"The end point of follow-up was development of drug-treated diabetes. To identify prevalent diabetes in the 1987 survey, the subjects were asked to fast for at least 4 h before the scheduled examination. Blood samples for determination of fasting blood glucose levels were collected from participants aged 45–64 years. (Page 726 - Research Design and Methods)

*follow-up involved",Y,Indirect,database,,Y,Indirect,,,
4004,Bova Score for Pulmonary Embolism Complications,PE complications if hemodynamically stable.,1,4004 - adverse PE-related clinical events,"Assessment of RV dysfunction either by echocardiogram or CT; measurement of markers of myocardial injury

*follow-up involved",N,-,,E,N,-,,,meta analysis
4005,HERDOO2 Rule for Discontinuing Anticoagulation in Unprovoked VTE,Stop anticoagulation in VTE.,1,4005 - unprovoked thromboembolism,"Objective documentation of deep vein thrombosis required the presence of a noncompressible segment on a compression ultrasound of the popliteal vein or a more proximal leg vein. Objective documentation of a pulmonary embolism required a high-probability ventilation–perfusion scan or a segmental or larger artery filling defect on a spiral computed tomography (CT) scan. We defined an unprovoked index venous thromboembolism as one that occurred in the absence of a leg fracture or lower-extremity plaster cast, immobilization for greater than 3 days or surgery using a general anesthetic in the 3 months before the index event, and without the diagnosis of a malignant disease in the past 5 years (Page 418 - study design and selection of participants)

*follow-up involved",Y,Direct,,,Y,Direct,,,
4010,LENT Prognostic Score for Malignant Pleural Effusion,Malignant pleural effusion survival.,1,4010 - survival in malignant pleural effusion,"Survival time was calculated from the date of diagnosis of MPE to death (Page 1099 Methods)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,database
4022,Marburg Heart Score (MHS),Rules out CAD (primary care).,1,4022 - coronary artery disease,"A reference panel of one cardiologist, one primary care physician and one research staff member of the Department of General Practice at the University of Marburg reviewed baseline and follow-up data for every patient. The panel decided on whether coronary artery disease was present or absent at the time of the index consultation (delayed-type reference standard). It based its decision on all of the results available after the follow-up period (index questionnaire, the attending physician’s provisional diagnosis, coronary angiography, if available, and results of noninvasive tests such as electrocardiography, exercise test and echocardiography). A diagnosis of coronary artery disease was based on recommendations from the German Program for Disease Management Guidelines. (Page 1296 - Reference Standard)

*follow-up involved",Y,Direct,,,Y,Direct,,,telephone
4028,Blast Lung Injury Severity Score,Blast lung severity.,1,4028 - biast lung injury,"Lung injury was estimated 6 and 24 h after admission by the modified Murray score for estimation of lung injury, and was defined as ALI or ARDS. (Page 166 - Measurements)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,
4031,Hypoglycemia Risk Score,Hypoglycemia prediction.,1,4031 - T2DM,Hypoglycemia-related ED or hospital use during 12 months of follow-up (Page 1461 - Main Outcomes and Measures),Y,Indirect,,E,Y,Indirect,,,
4053,Mantle Cell Lymphoma International Prognostic Index (MIPI),Mantle cell lymphoma survival.,1,4053 - prognosis with advanced-stage mantle cell lymphoma,The outcome parameter was OS calculated from the day of recruitment to death from any cause or to the latest follow-up date. (Page 559 - Candidate prognostic factors and outcome parameters),Y,Indirect,,E,Y,Indirect,,,
4054,International Prognostic Index for Chronic Lymphocytic Leukemia (CLL-IPI),CLL risk stratification.,1,4054 - chronic lymphocytic leukemia prognosis,"Overall survival calculated from study entry to date of death for patients of the full analysis dataset (training and internal-validation datasets) and from diagnosis to date of death for the external-validation datasets. (Page 781 - Methods - data analysis)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,
4057,Solitary Pulmonary Nodule (SPN) Malignancy Risk Score (Mayo Clinic Model),Risk that lung nodule is malignant.,1,4057 - risk of malignancy,"(1) radiographic follow-up for 2 years or more (if it resolved or decreased in size, or there was no growth, the nodule was considered to be benign); (2) surgical diagnosis; (3) TNAB positive for malignancy; or (4) bronchoscopic biopsy, washing, or brushing positive for malignancy. (Page 850 - Patients and Methods)

*follow-up involved",N,-,,E,N,-,,,meta analysis
4060,Aortic Dissection Detection Risk Score (ADD-RS),Rules out aortic dissection.,1,4060 - acute aortic syndromes,"Final case adjudication was based on conclusive diagnostic imaging, autopsy, surgery or on 14-day follow-up. (Page 2 - Methods)",Y,Hybrid,,E,Y,Hybrid,,,
4067,YEARS Algorithm for Pulmonary Embolism (PE),PE rule-out.,1,4067 - pulmonary embolism,"3-month incidence of symptomatic venous thromboembolism in the overall population and in patients managed with and without CTPA separately. (Page 291 - Outcomes)

*follow-up",Y,Direct,,E,Y,Direct,,,
10014,IMPACT Score for Outcomes in Head Injury,TBI outcomes.,1,10014 - TBI outcome,"6 month glaucoma outcome scale: dead, vegetative state, severe disability, moderate disability, good recovery

*follow-up involved (assumption based on 6 month follow)",Y,Indirect,,E,Y,Indirect,,,
10016,Dual Antiplatelet Therapy (DAPT) Score,Prolonged (>1 year) dual antiplatelet therapy after PCI.,1,10016 - dual anti platelet therapy outcome after 1 year of percutaneous coronary intervention,"Ischemia (myocardial infarction or stent thrombosis) and bleeding (moderate or severe) 12 to 30 months after PCI (Page 1735 - Main Outcomes and Measures)

*follow-up involved",Y,Hybrid,,E,Y,Hybrid,,,
10020,ACTION ICU Score for Intensive Care in NSTEMI,Critical NSTEMI complications.,1,10020 - need for intensive care,"We defined complications requiring ICU care as cardiac arrest, shock, heart block requiring pacemaker placement, respiratory failure, stroke, or death occurring any time during the hospitalization. (Page 2 - Data definitions)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,
10022,ARISCAT Score for Postoperative Pulmonary Complications,Post-op pulmonary complications.,1,10022 - postoperative pulmonary complications,"The main outcome, a PPC, was a composite of the in-hospital fatal or nonfatal postoperative events, as defined in table 1. Complication: 

Respiratory infection - When a patient received antibiotics for a suspected respiratory infection and met at least one of the following criteria: new or changed sputum, new or changed lung opacities, fever, leukocyte count 12,000 

Respiratory failure - When postoperative PaO2 60 mmHg on room air, a ratio of PaO2 to inspired oxygen fraction 300 or arterial oxyhemoglobin saturation measured with pulse oximetry 90% and requiring oxygen therapy 

Pleural effusion - Chest x-ray demonstrating blunting of the costophrenic angle, loss of the sharp silhouette of the ipsilateral hemidiaphragm in upright position, evidence of displacement of adjacent anatomical structures, or (in supine position) a hazy opacity in one hemithorax with preserved vascular shadows 

Atelectasis - Lung opacification with a shift of the mediastinum, hilum, or hemidiaphragm toward the affected area, and compensatory overinflation in the adjacent nonatelectatic lung 

Pneumothorax - Air in the pleural space with no vascular bed surrounding the visceral pleura 

Bronchospasm - Newly detected expiratory wheezing treated with bronchodilators 

Aspiration pneumonitis - Acute lung injury after the inhalation of regurgitated gastric contents (Page 1340 - Outcomes)

*follow-up only",Y,Hybrid,,E,Y,Hybrid,,,
10023,Leiden Clinical Prediction Rule for Undifferentiated Arthritis,Rheumatoid arthritis diagnosis.,1,10023 - rheumatoid arthritis diagnosis,"Baseline blood samples were obtained for determination of the erythrocyte sedimentation rate (ESR), the C-reactive protein (CRP) level, the presence of IgM rheumatoid factor (RF), as determined by enzyme-linked immunosorbent assay (ELISA), and the presence of antibodies to cyclic citrullinated peptide 2 (anti-CCP), as determined by ELISA (Immunoscan RA Mark 2; Euro-Diagnostica, Arnhem, The Netherlands). The cutoff level for anti-CCP positivity was 25 arbitrary units. Radiographs of the hands and feet were obtained and scored according to the Sharp/van der Heijde method (18). (Page 434 Patients and Methods)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,database
10025,Ocular Hypertension Treatment Study (OHTS) Calculator,Primary open angle glaucoma prevention.,1,10025 - primary open-angle glaucoma,"Development of reproducible visual field abnormality or reproducible optic disc deterioration attributed to primary open-angle glaucoma (Page 701 - Main Outcome Measures)

*follow-up involved",Y,Direct,,E,Y,Direct,,,
10031,REACH-B Score for Hepatocellular Carcinoma (HCC),HCC risk in hep B.,1,10031 - hepatocellular carinoma,"Histopathological confirmation; detection of a positive lesion with at least two imaging techniques (abdominal ultrasound, angiogram, or CT); or detection with one imaging technique coupled with an α-fetoprotein concentration greater than 400 μg/L. (Page 569 - Methods)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,
10035,DIRE Score for Opioid Treatment,Opioid treatment compliance.,1,10035 - opioid treatment compliance,"The main outcome measures were: global impression of compliance and efficacy as indicated in the medical record and by interview with the patient’s treating clinician; and final disposition, ie, whether or not opioids were continued or discontinued at the time of last clinical documentation. (Abstract - Page 671)

*follow-up only",Y,Indirect,Indirect,E,Y,Indirect,,,
10040,Duval/CIBMTR Score for Acute Myelogenous Leukemia (AML) Survival,AML survival.,1,10040 - acute leukemia prognosis,"3-year overall survival (OS). OS was defined as time from the date of transplantation to the date of death or last contact. (Study End Points Page 3731)

*follow-up involved",Y,Indirect,,E,Y,Indirect,,,database
10045,Kidney Failure Risk Calculator,Kidney failure risk in CKD.,1,10045 - kidney failure,"Need for dialysis or preemptive kidney transplantation

*follow-up involved",Y,Indirect,database,E,,,Y,Indirect,
10051,HOSPITAL Score for Readmissions,Readmission prediction.,1,10051 - hospital readmission,"Potentially avoidable 30-day readmissions to 3 hospitals of the Partners Health-Care network were identified using a validated computerized algorithm based on administrative data (SQLape). (Page 632 - Main Outcome Measures)

*follow-up involved",Y,Indirect,database,E,Y,Indirect,Y,Direct,
10052,Liver Decompensation Risk after Hepatectomy for Hepatocellular Carcinoma (HCC),Post-hepatectomy decompensation.,1,10052 - liver decompensation after resection,"Postsurgical LD was defined as previously reported by the occurrence of any of the following liver-related complications graded as DCC greater than 1 during hospitalization: 

(1) refractory ascites causing a delay in the removal of surgical drains and/or requiring paracentesis (grade 2 or grade 3a complication); 

(2) increase of bilirubin levels to more than 3 mg/dL (to convert to micromoles per liter, multiply by 17.104); 

(3) alteration of coagulation factors requiring fresh-frozen plasma infusion with an international normalized ratio of more than 1.50 (in the absence of serum bilirubin levels >12 mg/dL); and 

(4) renal impairment, defined as a serum urea nitrogen level of more than 2.00 g/L (to convert to millimoles per liter, multiply by 0.357) and/or increase of serum creatinine level to more than 2 mg/dL (to convert to micromoles per liter, multiply by 88.4) requiring dopamine hydrochloride or terlipressin therapy or dialysis. (Page 847-848 Complications and LD Assessment)

*follow-up involved",Y,Direct,in-person,E,,,Y,Direct,
