index,ref_authors_full,ref_authors_affils,pred,gt,query
171,Sarah Clarke,"Department of Anaesthesia and Pain Medicine, Royal Perth Hospital, Level 4, North Block, Wellington Street, Perth, Western Australia. tomas.corcoran@health.wa.gov.au",F,X,"https://www.google.com/search?q=Sarah+Clarke+.homepage.Department+of+Anaesthesia+and+Pain+Medicine,+Royal+Perth+Hospital,+Level+4,+North+Block,+Wellington+Street,+Perth,+Western+Australia.+tomas.corcoran@health.wa.gov.au"
120,Michael Kass,"Department of Ophthalmology and Visual Sciences, Washington University School of Medicine, St Louis, MO 63110, USA.",M,M,"https://www.google.com/search?q=Michael+Kass+.homepage.Department+of+Ophthalmology+and+Visual+Sciences,+Washington+University+School+of+Medicine,+St+Louis,+MO+63110,+USA."
61,Laura Porter,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,F,"https://www.google.com/search?q=Laura+Porter+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
265,Arnaud Perrier,"Division of General Internal Medicine, Clinical Epidemiology Center, University of Lausanne, Lausanne, Switzerland. drahomir.aujesky@chuv.ch",M,M,"https://www.google.com/search?q=Arnaud+Perrier+.homepage.Division+of+General+Internal+Medicine,+Clinical+Epidemiology+Center,+University+of+Lausanne,+Lausanne,+Switzerland.+drahomir.aujesky@chuv.ch"
269,Claudia Cote,"COPD Center at St. Elizabeth's Medical Center, Tufts University School of Medicine, Boston, MA 02135, USA. bcelli@copdnet.org",F,X,"https://www.google.com/search?q=Claudia+Cote+.homepage.COPD+Center+at+St.+Elizabeth's+Medical+Center,+Tufts+University+School+of+Medicine,+Boston,+MA+02135,+USA.+bcelli@copdnet.org"
12,Sheldon Magder,"Department of Critical Care, McGill University Health Centre, Montreal, QC, Canada.",M,M,"https://www.google.com/search?q=Sheldon+Magder+.homepage.Department+of+Critical+Care,+McGill+University+Health+Centre,+Montreal,+QC,+Canada."
159,Anne Manton,"Department of Emergency Medicine, University of Massachusetts Medical School, Worcester, MA, USA. Edwin.Boudreaux@umassmed.edu",F,F,"https://www.google.com/search?q=Anne+Manton+.homepage.Department+of+Emergency+Medicine,+University+of+Massachusetts+Medical+School,+Worcester,+MA,+USA.+Edwin.Boudreaux@umassmed.edu"
225,Wolfgang Hiddemann,"Department of Internal Medicine III, University of Munich, Germany.",M,M,"https://www.google.com/search?q=Wolfgang+Hiddemann+.homepage.Department+of+Internal+Medicine+III,+University+of+Munich,+Germany."
198,Anna Lopez,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",F,X,"https://www.google.com/search?q=Anna+Lopez+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
117,Philip Scribano,"Section of Emergency Medicine, Department of Pediatrics, Medical College of Wisconsin, Milwaukee, WI, USA. mgorelic@mail.mcw.edu",M,X,"https://www.google.com/search?q=Philip+Scribano+.homepage.Section+of+Emergency+Medicine,+Department+of+Pediatrics,+Medical+College+of+Wisconsin,+Milwaukee,+WI,+USA.+mgorelic@mail.mcw.edu"
169,Ellen Ginzler,"Johns Hopkins University School of Medicine, 1830 East Monument Street, Suite 7500, Baltimore, MD 21205, USA. mpetri@jhmi.edu",F,F,"https://www.google.com/search?q=Ellen+Ginzler+.homepage.Johns+Hopkins+University+School+of+Medicine,+1830+East+Monument+Street,+Suite+7500,+Baltimore,+MD+21205,+USA.+mpetri@jhmi.edu"
198,Hector Oreiro,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",M,X,"https://www.google.com/search?q=Hector+Oreiro+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
226,Marisol Betancourt,"Thrombosis Program, Division of Hematology, Department of Medicine, University of Ottawa, Ottawa, Ont. mrodger@ohri.ca",F,X,"https://www.google.com/search?q=Marisol+Betancourt+.homepage.Thrombosis+Program,+Division+of+Hematology,+Department+of+Medicine,+University+of+Ottawa,+Ottawa,+Ont.+mrodger@ohri.ca"
217,Alessandro Vitale,"National Cancer Institute, Milan, Italy.",M,X,"https://www.google.com/search?q=Alessandro+Vitale+.homepage.National+Cancer+Institute,+Milan,+Italy."
198,Carmen Gomar,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",F,F,"https://www.google.com/search?q=Carmen+Gomar+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
169,David Isenberg,"Johns Hopkins University School of Medicine, 1830 East Monument Street, Suite 7500, Baltimore, MD 21205, USA. mpetri@jhmi.edu",M,M,"https://www.google.com/search?q=David+Isenberg+.homepage.Johns+Hopkins+University+School+of+Medicine,+1830+East+Monument+Street,+Suite+7500,+Baltimore,+MD+21205,+USA.+mpetri@jhmi.edu"
169,Susan Manzi,"Johns Hopkins University School of Medicine, 1830 East Monument Street, Suite 7500, Baltimore, MD 21205, USA. mpetri@jhmi.edu",F,F,"https://www.google.com/search?q=Susan+Manzi+.homepage.Johns+Hopkins+University+School+of+Medicine,+1830+East+Monument+Street,+Suite+7500,+Baltimore,+MD+21205,+USA.+mpetri@jhmi.edu"
217,Gilles Mentha,"National Cancer Institute, Milan, Italy.",M,M,"https://www.google.com/search?q=Gilles+Mentha+.homepage.National+Cancer+Institute,+Milan,+Italy."
59,Janet Tate,"VA Connecticut Health Systems, West Haven, Connecticut, USA.",F,F,"https://www.google.com/search?q=Janet+Tate+.homepage.VA+Connecticut+Health+Systems,+West+Haven,+Connecticut,+USA."
90,Daren Heyland,"Clinical Evaluation Research Unit, Kingston General Hospital, Kingston, ON, Canada. dkh2@queensu.ca",M,M,"https://www.google.com/search?q=Daren+Heyland+.homepage.Clinical+Evaluation+Research+Unit,+Kingston+General+Hospital,+Kingston,+ON,+Canada.+dkh2@queensu.ca"
88,Jaimi Greenslade,"Christchurch Hospital, Christchurch, New Zealand. martinthan@xtra.co.nz",F,F,"https://www.google.com/search?q=Jaimi+Greenslade+.homepage.Christchurch+Hospital,+Christchurch,+New+Zealand.+martinthan@xtra.co.nz"
28,Richard Temes,"Department of Neurology, Neurological Intensive Care Unit, Columbia University, College of Physicians and Surgeons, New York, New York, USA.",M,M,"https://www.google.com/search?q=Richard+Temes+.homepage.Department+of+Neurology,+Neurological+Intensive+Care+Unit,+Columbia+University,+College+of+Physicians+and+Surgeons,+New+York,+New+York,+USA."
264,Ellen Walters,"Department of Health Care Policy, Harvard Medical School, Boston, MA 02115, USA. kessler@hcp.med.harvard.edu",F,X,"https://www.google.com/search?q=Ellen+Walters+.homepage.Department+of+Health+Care+Policy,+Harvard+Medical+School,+Boston,+MA+02115,+USA.+kessler@hcp.med.harvard.edu"
59,M. John Gill,"VA Connecticut Health Systems, West Haven, Connecticut, USA.",M,X,"https://www.google.com/search?q=M.+John+Gill+.homepage.VA+Connecticut+Health+Systems,+West+Haven,+Connecticut,+USA."
225,Norma Peter,"Department of Internal Medicine III, University of Munich, Germany.",F,X,"https://www.google.com/search?q=Norma+Peter+.homepage.Department+of+Internal+Medicine+III,+University+of+Munich,+Germany."
226,Grégoire Le Gal,"Thrombosis Program, Division of Hematology, Department of Medicine, University of Ottawa, Ottawa, Ont. mrodger@ohri.ca",M,M,"https://www.google.com/search?q=Grégoire+Le+Gal+.homepage.Thrombosis+Program,+Division+of+Hematology,+Department+of+Medicine,+University+of+Ottawa,+Ottawa,+Ont.+mrodger@ohri.ca"
254,Aynur Unalp-Arida,"Laboratory of Pathology, National Cancer Institute, Bethesda, MD 20892, USA. KleinerD@mail.nih.gov",F,X,"https://www.google.com/search?q=Aynur+Unalp-Arida+.homepage.Laboratory+of+Pathology,+National+Cancer+Institute,+Bethesda,+MD+20892,+USA.+KleinerD@mail.nih.gov"
27,Hervé Tanghe,"Erasmus MC-University Medical Center Rotterdam, Rotterdam, The Netherlands.",M,M,"https://www.google.com/search?q=Hervé+Tanghe+.homepage.Erasmus+MC-University+Medical+Center+Rotterdam,+Rotterdam,+The+Netherlands."
270,Anita De Bellis,"School of Nursing, Queensland University of Technology and The Prince Charles Hospital Health Service Distict, c/o Prince Charles Hospital, Rode Road, Chermside, Queensland 4032, Australia. j.abbey@qut.edu.au",F,F,"https://www.google.com/search?q=Anita+De+Bellis+.homepage.School+of+Nursing,+Queensland+University+of+Technology+and+The+Prince+Charles+Hospital+Health+Service+Distict,+c/o+Prince+Charles+Hospital,+Rode+Road,+Chermside,+Queensland+4032,+Australia.+j.abbey@qut.edu.au"
28,Jan Claassen,"Department of Neurology, Neurological Intensive Care Unit, Columbia University, College of Physicians and Surgeons, New York, New York, USA.",M,M,"https://www.google.com/search?q=Jan+Claassen+.homepage.Department+of+Neurology,+Neurological+Intensive+Care+Unit,+Columbia+University,+College+of+Physicians+and+Surgeons,+New+York,+New+York,+USA."
96,Karen Alexander,"Cardiovascular Division, Washington University School of Medicine, St Louis, MO 63110, USA.",F,X,"https://www.google.com/search?q=Karen+Alexander+.homepage.Cardiovascular+Division,+Washington+University+School+of+Medicine,+St+Louis,+MO+63110,+USA."
139,Vincenzo Stanghellini,"Department of the Digestive System, University Hospital S. Orsola-Malpighi, Bologna, Italy; Department of Medical and Surgical Sciences, University of Bologna, Bologna, Italy. Electronic address: v.stanghellini@unibo.it.",M,M,"https://www.google.com/search?q=Vincenzo+Stanghellini+.homepage.Department+of+the+Digestive+System,+University+Hospital+S.+Orsola-Malpighi,+Bologna,+Italy;+Department+of+Medical+and+Surgical+Sciences,+University+of+Bologna,+Bologna,+Italy.+Electronic+address:+v.stanghellini@unibo.it."
64,Jennifer Holter Chakrabarty,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,F,"https://www.google.com/search?q=Jennifer+Holter+Chakrabarty+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
219,Mark Warren,"FRCPC, Department of Medical Oncology, Tom Baker Cancer Center, University of Calgary, Calgary, Alberta, Canada. daniel.heng@cancerboard.ab.ca",M,M,"https://www.google.com/search?q=Mark+Warren+.homepage.FRCPC,+Department+of+Medical+Oncology,+Tom+Baker+Cancer+Center,+University+of+Calgary,+Calgary,+Alberta,+Canada.+daniel.heng@cancerboard.ab.ca"
130,Danielle Boyce,"The Children's Hospital at TriStar Medical Center, 330 23rd Ave North, Suite 580, Nashville, TN 37203, USA. Electronic address: Jesus.PinaGarza@hcahealthcare.com.",F,F,"https://www.google.com/search?q=Danielle+Boyce+.homepage.The+Children's+Hospital+at+TriStar+Medical+Center,+330+23rd+Ave+North,+Suite+580,+Nashville,+TN+37203,+USA.+Electronic+address:+Jesus.PinaGarza@hcahealthcare.com."
173,Martin O'Donnell,"Health Research Board Clinical Research Facility, Geata an Eolais, National University of Ireland, Galway, Ireland. martin.odonnell@nuigalway.ie",M,M,"https://www.google.com/search?q=Martin+O'Donnell+.homepage.Health+Research+Board+Clinical+Research+Facility,+Geata+an+Eolais,+National+University+of+Ireland,+Galway,+Ireland.+martin.odonnell@nuigalway.ie"
264,Minnie Ames,"Department of Health Care Policy, Harvard Medical School, Boston, MA 02115, USA. kessler@hcp.med.harvard.edu",F,X,"https://www.google.com/search?q=Minnie+Ames+.homepage.Department+of+Health+Care+Policy,+Harvard+Medical+School,+Boston,+MA+02115,+USA.+kessler@hcp.med.harvard.edu"
207,Renzo Poggio,"Respiratory Department , Hospital Ramón y Cajal and Alcalá de Henares University, 28034 Madrid, Spain. djc_69_98@yahoo.com",M,X,"https://www.google.com/search?q=Renzo+Poggio+.homepage.Respiratory+Department+,+Hospital+Ramón+y+Cajal+and+Alcalá+de+Henares+University,+28034+Madrid,+Spain.+djc_69_98@yahoo.com"
162,Lisa Calder,"Department of Emergency Medicine, University of Ottawa, Ottawa, Ontario, Canada. istiell@ohri.ca",F,F,"https://www.google.com/search?q=Lisa+Calder+.homepage.Department+of+Emergency+Medicine,+University+of+Ottawa,+Ottawa,+Ontario,+Canada.+istiell@ohri.ca"
19,Winfried Kern,"Cooper University Hospital, Camden, New Jersey, USA. Dellinger-Phil@CooperHealth.edu",M,X,"https://www.google.com/search?q=Winfried+Kern+.homepage.Cooper+University+Hospital,+Camden,+New+Jersey,+USA.+Dellinger-Phil@CooperHealth.edu"
59,Margaret May,"VA Connecticut Health Systems, West Haven, Connecticut, USA.",F,X,"https://www.google.com/search?q=Margaret+May+.homepage.VA+Connecticut+Health+Systems,+West+Haven,+Connecticut,+USA."
142,Michel Attal,"Antonio Palumbo, Stefania Oliva, Simona Caltagirone, Sara Bringhen, and Francesca Gay, University of Torino, Azienda Ospedaliero-Universitaria Città della Salute della Salute e della Scienza di Torino; Roberto Passera, University of Torino, Torino; Massimo Offidani, Clinica di Ematologia, AUO Ospedali Riuniti di Ancona, Ancona; Pellegrino Musto, Istituto di Ricovero e Cura a Carattere Scientifico, Referral Cancer Center of Basilicata, Rionero in Vulture; Maria T. Petrucci, Sapienza University of Rome, Rome; Elena Zamagni and Michele Cavo, Istituto di Ematologia Seragnoli, Università di Bologna, Bologna, Italy; Hervé Avet-Loiseau and Michel Attal, Institut Claudius Regaud, L'Institut Universitaire du Cancer de Toulouse-Oncopole, Toulouse; Thierry Facon, Service des Maladies du Sang, Hôpital Claude Huriez, Centre Hospitalier Regionale et Universitaire Lille, Lille; Philippe Moreau, University Hospital Hotel-Dieu, Nantes, France; Henk M. Lokhorst, VU University Medical Center, Amsterdam; Pieter Sonneveld, Erasmus MC, Rotterdam, the Netherlands; Hartmut Goldschmidt, University Hospital and National Center for Tumor Diseases Heidelberg, Heidelberg, Germany; Laura Rosinol, Hospital Clínic, Institut Clínic d'Investigacions Biomèdiques Ausgust Pi i Sunyer, Barcelona; Juan José Lahuerta, Hospital Universitario 12 de Octubre, Madrid; Jésus San Miguel, Clínica Universidad de Navarra, Centro de Investigaciones Médicas Aplicadas, IDISNA, Pamplona, Spain; Paul Richardson and Kenneth C. Anderson, Jerome Lipper Multiple Myeloma Center, Dana-Farber Cancer Institute, Boston, MA; Shaji Kumar and S. Vincent Rajkumar, Mayo Clinic, Rochester, MN; Sagar Lonial, Winship Cancer Institute, Emory University, Atlanta, GA; Robert Z. Orlowski, The University of Texas MD Anderson Comprehensive Cancer Center, Houston, TX; Gareth Morgan, Myeloma Institutes for Research Therapy, University of Arkansas for Medical Sciences, Little Rock, AR; Brian G.M. Durie, Cedars-Sinai Comprehensive Canc",M,M,"https://www.google.com/search?q=Michel+Attal+.homepage.Antonio+Palumbo,+Stefania+Oliva,+Simona+Caltagirone,+Sara+Bringhen,+and+Francesca+Gay,+University+of+Torino,+Azienda+Ospedaliero-Universitaria+Città+della+Salute+della+Salute+e+della+Scienza+di+Torino;+Roberto+Passera,+University+of+Torino,+Torino;+Massimo+Offidani,+Clinica+di+Ematologia,+AUO+Ospedali+Riuniti+di+Ancona,+Ancona;+Pellegrino+Musto,+Istituto+di+Ricovero+e+Cura+a+Carattere+Scientifico,+Referral+Cancer+Center+of+Basilicata,+Rionero+in+Vulture;+Maria+T.+Petrucci,+Sapienza+University+of+Rome,+Rome;+Elena+Zamagni+and+Michele+Cavo,+Istituto+di+Ematologia+Seragnoli,+Università+di+Bologna,+Bologna,+Italy;+Hervé+Avet-Loiseau+and+Michel+Attal,+Institut+Claudius+Regaud,+L'Institut+Universitaire+du+Cancer+de+Toulouse-Oncopole,+Toulouse;+Thierry+Facon,+Service+des+Maladies+du+Sang,+Hôpital+Claude+Huriez,+Centre+Hospitalier+Regionale+et+Universitaire+Lille,+Lille;+Philippe+Moreau,+University+Hospital+Hotel-Dieu,+Nantes,+France;+Henk+M.+Lokhorst,+VU+University+Medical+Center,+Amsterdam;+Pieter+Sonneveld,+Erasmus+MC,+Rotterdam,+the+Netherlands;+Hartmut+Goldschmidt,+University+Hospital+and+National+Center+for+Tumor+Diseases+Heidelberg,+Heidelberg,+Germany;+Laura+Rosinol,+Hospital+Clínic,+Institut+Clínic+d'Investigacions+Biomèdiques+Ausgust+Pi+i+Sunyer,+Barcelona;+Juan+José+Lahuerta,+Hospital+Universitario+12+de+Octubre,+Madrid;+Jésus+San+Miguel,+Clínica+Universidad+de+Navarra,+Centro+de+Investigaciones+Médicas+Aplicadas,+IDISNA,+Pamplona,+Spain;+Paul+Richardson+and+Kenneth+C.+Anderson,+Jerome+Lipper+Multiple+Myeloma+Center,+Dana-Farber+Cancer+Institute,+Boston,+MA;+Shaji+Kumar+and+S.+Vincent+Rajkumar,+Mayo+Clinic,+Rochester,+MN;+Sagar+Lonial,+Winship+Cancer+Institute,+Emory+University,+Atlanta,+GA;+Robert+Z.+Orlowski,+The+University+of+Texas+MD+Anderson+Comprehensive+Cancer+Center,+Houston,+TX;+Gareth+Morgan,+Myeloma+Institutes+for+Research+Therapy,+University+of+Arkansas+for+Medical+Sciences,+Little+Rock,+AR;+Brian+G.M.+Durie,+Cedars-Sinai+Comprehensive+Canc"
19,Caryl Goodyear-Bruch,"Cooper University Hospital, Camden, New Jersey, USA. Dellinger-Phil@CooperHealth.edu",F,F,"https://www.google.com/search?q=Caryl+Goodyear-Bruch+.homepage.Cooper+University+Hospital,+Camden,+New+Jersey,+USA.+Dellinger-Phil@CooperHealth.edu"
198,Tomas Martínez,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",M,X,"https://www.google.com/search?q=Tomas+Martínez+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
146,Cecile Aubron,"1 Australian and New Zealand Intensive Care Research Centre, Department of Epidemiology and Preventive Medicine, School of Public Health, Monash University, Melbourne, Australia.",F,F,"https://www.google.com/search?q=Cecile+Aubron+.homepage.1+Australian+and+New+Zealand+Intensive+Care+Research+Centre,+Department+of+Epidemiology+and+Preventive+Medicine,+School+of+Public+Health,+Monash+University,+Melbourne,+Australia."
154,João Barbosa,"Department of Urology, Boston Children's Hospital, Boston, Massachusetts 02115, USA. jbrunhara@gmail.com",M,X,"https://www.google.com/search?q=João+Barbosa+.homepage.Department+of+Urology,+Boston+Children's+Hospital,+Boston,+Massachusetts+02115,+USA.+jbrunhara@gmail.com"
80,Louise Cullen,"Christchurch Hospital, Christchurch, New Zealand.",F,F,"https://www.google.com/search?q=Louise+Cullen+.homepage.Christchurch+Hospital,+Christchurch,+New+Zealand."
13,Guy Doucet,"Department of Mental Health, Children's Hospital of Eastern Ontario, Ottawa, ON K1H 8L1 Canada. cappelli@cheo.on.ca",M,X,"https://www.google.com/search?q=Guy+Doucet+.homepage.Department+of+Mental+Health,+Children's+Hospital+of+Eastern+Ontario,+Ottawa,+ON+K1H+8L1+Canada.+cappelli@cheo.on.ca"
271,Josephine White,"Centre Jean-Bernard, 9 rue Beauverger, 72000 Le Mans, France. p.solal-celigny@noos.fr",F,X,"https://www.google.com/search?q=Josephine+White+.homepage.Centre+Jean-Bernard,+9+rue+Beauverger,+72000+Le+Mans,+France.+p.solal-celigny@noos.fr"
88,William Parsonage,"Christchurch Hospital, Christchurch, New Zealand. martinthan@xtra.co.nz",M,M,"https://www.google.com/search?q=William+Parsonage+.homepage.Christchurch+Hospital,+Christchurch,+New+Zealand.+martinthan@xtra.co.nz"
227,Sharon Chung,"Department of Psychiatry, University of Toronto, Toronto Western Hospital, University Health Network, Toronto, Ontario, Canada. frances.chung@uhn.on.ca",F,F,"https://www.google.com/search?q=Sharon+Chung+.homepage.Department+of+Psychiatry,+University+of+Toronto,+Toronto+Western+Hospital,+University+Health+Network,+Toronto,+Ontario,+Canada.+frances.chung@uhn.on.ca"
