medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Predicts poor prognosis after out-of-hospital cardiac arrest and guides utility of cardiac catheterization.,cahp-cardiac-arrest-hospital-prognosis-score,CAHP (Cardiac Arrest Hospital Prognosis) Score,"['Anumeha Sigh, MD ', 'Asad Rizvi, MD ', 'Bryan Piccirillo, MD']",CAHP Score,Cardiac arrest prognosis.,"['Heart Failure', 'Myocardial Infarction']",Cardiac,"Cardiac arrest, CAHP (Cardiac Arrest Hospital Prognosis) Score, CAHP Score, out-of-hospital cardiac arrest",Prognosis,"['Chest Pain', 'Shortness of Breath', 'Syncope', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine']",10297,"['Dr. Florence Dumas', 'Dr. Carole Maupain']",True,
Calculates a corrected calcium level for patients with hypoalbuminemia.,calcium-correction-hypoalbuminemia,Calcium Correction for Hypoalbuminemia,[],Ca Correction for Albumin,Corrects Ca for hypoalbuminemia.,"['Cancer', 'Cirrhosis', 'Hepatitis', 'Hypocalcemia']","['Endocrine and Metabolic', 'Gastrointestinal', 'Renal']","['lytes', 'electrolytes', 'albumin', 'ca correction', 'ca corrected']",Formula,"['Abdominal Pain', 'AMS', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Endocrinology', 'Family Practice', 'Geriatrics', 'Hematology and Oncology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Pediatrics', 'Primary Care']",31,Dr. Xavier Parent,False,
Predicts risk of having previously undiagnosed type 2 diabetes.,cambridge-diabetes-risk-score,Cambridge Diabetes Risk Score,[],Cambridge Diabetes Risk Score,T2DM risk.,Diabetes Mellitus,Endocrine and Metabolic,"['diabetes risk score', 'griffin score', 'cambridge risk score', 'cambridge diabetes risk score']",Prognosis,"['Fatigue', 'Polyuria', 'Weight Loss/Gain']","['Endocrinology', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine']",4001,Dr. Simon J. Griffin,False,
Clinically clears cervical spine fracture without imaging.,canadian-c-spine-rule,Canadian C-Spine Rule,"Daniel Runde, MD",Canadian C-Spine Rule,"More sens/spec, but more complex, than NEXUS.",Trauma,"['Musculoskeletal', 'Neurologic', 'Psychiatric']","['trauma', 'cspine', 'neck', 'c-spine']","['Algorithm', 'Diagnosis', 'Prognosis', 'Rule Out']",Injury/Trauma,"['Emergency Medicine', 'Internal Medicine', 'Neurology', 'Surgery (General)', 'Surgery (Trauma)']",696,Dr. Ian Stiell,True,
"Classifies severity of angina.<br /><span id=""docs-internal-guid-99576084-d7a0-844a-5ba4-6287575db490"">",canadian-cardiovascular-society-ccs-angina-grade,Canadian Cardiovascular Society (CCS) Angina Grade,[],CCS Angina Grade,Angina severity.,"['Acute Coronary Syndrome', 'Acute Pain', 'Congestive Heart Failure', 'Heart Failure', 'MI', 'Myocardial Infarction']",Cardiac,"['Angina', 'angina score', 'Canadian cardiovascular society', 'CCS', 'myocardial infarction', ' MI', 'heart attack', 'ccs angina']","['Diagnosis', 'Treatment']","['Chest Pain', 'Chronic Pain']","['Cardiology', 'Internal Medicine', 'Family Practice', 'Primary Care', 'Critical Care']",10067,Dr. Lucien Campeau,False,
Clears head injury without imaging.,canadian-ct-head-injury-trauma-rule,Canadian CT Head Injury/Trauma Rule,"Daniel Runde, MD",Canadian CT Head Rule,"Very sensitive, rules out imaging in many.",Trauma,Neurologic,"['trauma', 'cchr', 'injury', 'ct', 'head ct']","['Algorithm', 'Diagnosis', 'Rule Out']","['Head Injury', 'Injury/Trauma']","['Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care', 'Surgery (General)', 'Surgery (Trauma)']",608,Dr. Ian Stiell,True,
Predicts 30-day serious adverse events in patients presenting with syncope.,canadian-syncope-risk-score,Canadian Syncope Risk Score,"Thomas Yang, MD",Canadian Syncope Risk Score,Morbidity and mortality in syncope patients.,"['Atrial Fibrillation', 'Myocardial Infarction', 'Stroke/TIA']","['Cardiac', 'Neurologic']","['Canadian Syncope Risk Score', 'Risk Stratification of Syncope in the Emergency Department', 'syncope', 'syncope score', 'fainting', 'vasovagal', 'LOC', 'stroke risk']","['Diagnosis', 'Prognosis']","['AMS', 'Dizziness', 'Seizure', 'Syncope']","['Cardiology', 'Emergency Medicine', 'Neurology']",3951,Dr. Venkatesh Thiruganasambandamoorthy,True,
Identifies risk of stroke in the next 7 days in patients who experienced symptoms of TIA.,canadian-transient-ischemic-attack-tia-score,Canadian Transient Ischemic Attack (TIA) Score,[],Canadian TIA Score,Stroke prediction.,Stroke/TIA,Cardiac,"['Canadian Transient Ischemic Attack (TIA) Score', 'Canadian TIA Score', 'TIA', 'TIA score', 'stroke', 'impending stroke', 'transient ischemic attack', 'transient ischemic attack score']",Prognosis,"['Dizziness', 'Fatigue', 'Numbness', 'Vertigo', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine']",10421,Dr. Jeffrey J. Perry,False,
Estimates the risk of severe chemotherapy-related side effects (Grade 3 or greater toxicity) in older cancer patients.,cancer-aging-research-group-chemotherapy-toxicity-tool-carg-tt,Cancer and Aging Research Group Chemotherapy Toxicity Tool (CARG-TT),[],CARG-TT,Estimates severe chemotherapy toxicity risk.,Cancer,"['Any/All', 'Oncologic']","['Cancer and Aging Research Group Chemotherapy Toxicity Tool (CARG-TT)', 'carg', 'carg tt', 'carg-tt', 'chemo', 'chemotherapy', 'toxicity tool', 'chemotherapy toxicity tool', 'toxicity', 'geriatrics', 'chemo tox', 'chemo tox tool', 'chemotherapy tox', 'chemotherapy toxicity', 'chemo toxicity tool', 'chemotherapy tox tool', 'chemo toxicity']",Treatment,"['Bleeding', 'Cancer', 'Constipation', 'Diarrhea', 'Fatigue', 'Headache', 'Infertility', 'Loss of Appetite', 'Nausea', 'Numbness', 'Pain', 'Seizure', 'Vomiting', 'Weakness', 'Weight Loss/Gain']","['Geriatrics', 'Hematology and Oncology', 'Radiation Oncology', 'Toxicology']",10424,Dr. Caroline Mariano,False,
Stratifies risk of VTE in surgical patients.,caprini-score-venous-thromboembolism-2005,Caprini Score for Venous Thromboembolism (2005),[],Caprini VTE Score,Stratifies risk of VTE in surgical patients.,"['Deep Venous Thrombosis', 'Pulmonary Embolism']",Hematologic,"['caprini', 'dvt', 'vte', 'pe', 'caprini score', 'capprini', 'caprini risk assessment model', '2005']",Prognosis,"['Chest Pain', 'Dyspnea', 'Extremity Edema', 'Shortness of Breath']","['Critical Care', 'Internal Medicine', 'Surgery (Cardiothoracic)', 'Surgery (General)', 'Surgery (Trauma)', 'Surgery (Vascular)']",3970,Dr. Joseph Caprini,False,
Predicts mortality and morbidity after cardiac surgery.,cardiac-anesthesia-risk-evaluation-score-care,Cardiac Anesthesia Risk Evaluation Score (CARE),"Amit Patel, MD",Cardiac Anesthesia Risk Evaluation Score (CARE),Predicts mortality and morbidity after cardiac surgery.,"['Congestive Heart Failure', 'Heart Failure', 'Myocardial Infarction']",Cardiac,CARE,Prognosis,"['Chest Pain', 'Dyspnea', 'Extremity Edema', 'Shortness of Breath']","['Anesthesiology', 'Cardiology', 'Surgery (Cardiothoracic)', 'Surgery (General)', 'Surgery (Plastic)', 'Surgery (Trauma)', 'Surgery (Vascular)', 'Oral and Maxillofacial Surgery']",3903,"Jean-Yves Dupuis, MD",True,3903.1
"<span id=""docs-internal-guid-3f0c999e-7fff-31e1-ff17-3397e9d34a8a"">Calculates cardiac output, cardiac index, and stroke volume.",cardiac-output-ficks-formula,Cardiac Output (Fick’s Formula),"Joseph Mizrahi, MD",Fick Cardiac Output,"Calculates CO, CI, and SV.","['Congestive Heart Failure', 'Endocarditis', 'Heart Failure', 'Myocardial Infarction', 'Respiratory Distress']",Cardiac,"['Fick’s formula', 'cardiac output calculator', 'CO calculator', 'cardiac index calculator', 'CI calculator', 'stroke volume calculator', 'SV calculator', 'fick', 'ficks']",Formula,"['Shortness of Breath', 'Chest Pain']","['Cardiology', 'Internal Medicine', 'Family Practice', 'Primary Care', 'Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Surgery (Cardiothoracic)']",10095,Dr. Adolf E. Fick,True,10095.1
"<span id=""docs-internal-guid-f8745c4f-954a-d4b8-5a16-ada0f7532a26"">Predicts risk of in-hospital cardiac arrest.",cart-cardiac-arrest-risk-triage-score,CART (Cardiac Arrest Risk Triage) Score,[],CART,In-hospital cardiac arrest.,"['Heart Failure', 'MI', 'Myocardial Infarction']",Cardiac,"['Cardiac arrest', 'CART', 'CA', 'cart score']","['Diagnosis', 'Prognosis']","['Chest Pain', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Internal Medicine', 'Family Practice', 'Geriatrics', 'Emergency Medicine', 'Primary Care']",10029,"['Dr. Matthew M. Churpek', 'Dr. Dana Edelson']",False,
Provides criteria for psoriatic arthritis diagnosis.,caspar-criteria-psoriatic-arthritis,CASPAR Criteria for Psoriatic Arthritis,[],CASPAR Criteria for PsA,Psoriatic arthritis diagnosis. ,Autoimmune Disorders,"['Dermatologic', 'Musculoskeletal', 'Rheumatologic']","['CASPAR', 'psoriatic arthritis', 'arthritis', 'psa', 'caspar criteria']",Diagnosis,"['Chronic Pain', 'Extremity Pain', 'Joint Pain', 'Pain']","['Dermatology', 'Family Practice', 'Internal Medicine', 'Orthopedics', 'Primary Care', 'Rheumatology']",10039,Dr. William J. Taylor,False,
Predicts clinically significant head injuries in children.,catch-canadian-assessment-tomography-childhood-head-injury-rule,CATCH (Canadian Assessment of Tomography for Childhood Head injury) Rule,"Diana Fleisher, MD",CATCH Rule,Clinically significant head injuries in children.,Trauma,Neurologic,"['head trauma', 'trauma', 'head injury', 'CT head', 'trauma imaging', 'intracranial hemorrhange', 'intracranial bleed', 'pediatrics', 'peds', 'peds trauma', 'child', 'children', 'catch rule']","['Diagnosis', 'Rule Out']","['Dizziness', 'Headache', 'Injury/Trauma']","['Critical Care (Neurologic)', 'Critical Care (Pediatric)', 'Emergency Medicine', 'Neurology', 'Neurosurgery', 'Pediatrics', 'Radiology']",3954,Dr. Martin H. Osmond,True,3954.1
Estimates severity of overcrowding in community emergency departments.,cedocs-score-emergency-department-overcrowding,CEDOCS Score for Emergency Department Overcrowding,[],CEDOCS,Estimates severity of overcrowding in community EDs.,Public Health,[],"['DOCS', 'emergency', 'overcrowding', 'crowded']",Algorithm,[],"['Administration', 'Emergency Medicine', 'Pediatrics']",3142,Dr. Steven Weiss,False,
"Estimates probability that pharyngitis is streptococcal, and suggests management course.",centor-score-modified-mcisaac-strep-pharyngitis,Centor Score (Modified/McIsaac) for Strep Pharyngitis,[],Centor Score (Modified/McIsaac),Strep throat diagnosis and treatment.,"['Acute Pain', 'Pharyngitis', 'Strep Pharyngitis', 'COVID-19', 'Coronavirus']",HEENT,"['strep', 'sore throat', 'centaur', 'centor', 'covid', 'covid19', 'covid-19', 'covid 19', 'coronavirus']","['Diagnosis', 'Rule Out', 'Treatment']","['Cough', 'Fever', 'Sore Throat']","['Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Oral and Maxillofacial Surgery', 'Otolaryngology', 'Pediatrics']",104,"['Dr. Robert M. Centor', 'Dr. Warren McIsaac']",False,
Calculates blood flow to the brain.,cerebral-perfusion-pressure,Cerebral Perfusion Pressure,"Lubabah Ben-Ghaly, MD",CPP,Cerebral blood flow.,Trauma,Neurologic,"['CPP', 'cerebral perfusion', 'brain perfusion', 'traumatic brain injury', 'tbi']",Formula,Injury/Trauma,"['Critical Care (Neurologic)', 'Neurology', 'Neurosurgery']",3985,Dr. Luzius A. Steiner,True,3985.1
"Calculates stroke risk for patients with atrial fibrillation, possibly better than the <calculator id=""40"">CHADS₂ Score</calculator>.",cha2ds2-vasc-score-atrial-fibrillation-stroke-risk,CHA₂DS₂-VASc Score for Atrial Fibrillation Stroke Risk,"Calvin Hwang, MD",CHA₂DS₂-VASc Score,Stroke risk in afib; better than CHADS₂.,"['Arrhythmia', 'Atrial Fibrillation', 'Stroke/TIA']","['Cardiac', 'Neurologic']","['chads', 'chads2', 'chads2-vasc', 'chads2vasc', 'stroke risk']","['Prognosis', 'Treatment']","['Palpitations', 'Shortness of Breath', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care']",801,Dr. Gregory Lip,True,
Estimates stroke risk in patients with atrial fibrillation.,chads2-score-atrial-fibrillation-stroke-risk,CHADS₂ Score for Atrial Fibrillation Stroke Risk,"Daniel Runde, MD",CHADS₂ Score,Stroke risk in AFib.,"['Arrhythmia', 'Atrial Fibrillation', 'Stroke/TIA']","['Cardiac', 'Neurologic']","['tia', 'afib', 'chads', 'stroke', 'cva', 'atrial fibrillation', 'stroke risk']","['Prognosis', 'Treatment']","['Palpitations', 'Shortness of Breath', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Primary Care']",40,Dr. Brian Gage,True,
"Predicts death, need for neurosurgical intervention or CT abnormality in children with head trauma.",chalice-childrens-head-injury-algorithm-prediction-important-clinical-events-rule,CHALICE (Children's Head injury ALgorithm for the prediction of Important Clinical Events) Rule,[],CHALICE Rule,Clinically significant head injuries in children.,Trauma,Neurologic,"['head trauma', 'trauma', 'head injury', 'CT head', 'trauma imaging', 'chalice', 'intracranial hemorrhage', 'intracranial bleed', 'pediatrics', 'peds', 'peds trauma', 'child', 'children']","['Diagnosis', 'Rule Out']","['Dizziness', 'Headache', 'Injury/Trauma']","['Critical Care (Neurologic)', 'Critical Care (Pediatric)', 'Emergency Medicine', 'Neurology', 'Neurosurgery', 'Radiology']",3953,Dr. Joel Dunning,False,
Predicts 10-year survival in patients with multiple comorbidities.,charlson-comorbidity-index-cci,Charlson Comorbidity Index (CCI),[],Charlson Comorbidity Index,10-year survival.,"['Cancer', 'Chemotherapy', 'Congestive Heart Failure', 'Diabetes Mellitus', 'HIV/AIDS', 'Renal Failure', 'COVID-19', 'Coronavirus']",Any/All,"['comorbidities', 'diabetes', 'charlson', 'mortality', 'prognosis', 'HIV', 'htn', 'cancer', 'hld', 'covid', 'covid-19', 'covid 19', 'covid19', 'coronavirus']",Prognosis,"['Abdominal Pain', 'Chronic Pain', 'Weakness']","['Anesthesiology', 'Cardiology', 'Critical Care', 'Family Practice', 'Geriatrics', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Palliative Care/Hospice', 'Surgery (General)', 'Surgery (Vascular)']",3917,Dr. Mary Charlson,False,
Estimates cirrhosis severity.,child-pugh-score-cirrhosis-mortality,Child-Pugh Score for Cirrhosis Mortality,[],Child-Pugh Score,Prognosis in cirrhosis; guides treatment.,"['Cirrhosis', 'Hepatitis']",Gastrointestinal,"['liver', ""child's score"", 'childs score', 'CTP', 'child turcotte pugh', 'turcotte', 'pugh', 'child pugh']",Prognosis,"['Abdominal Pain', 'Jaundice']","['Critical Care', 'Emergency Medicine', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Surgery (General)']",340,Dr. Charles G. Child,False,
Quantifies pain post-operatively in pediatric patients 1-5 years old.,childrens-hospital-eastern-ontario-pain-scale-cheops-post-op-pediatric-pain,Children's Hospital of Eastern Ontario Pain Scale (CHEOPS) for Post-Op Pediatric Pain,[],CHEOPS,Post-op pain assessment for peds.,"['Acute Pain', 'Anxiety']",Neurologic,"['peds', 'post-op', 'pain', 'crying', 'sedation']","['Prognosis', 'Treatment']","['Anxious', 'Pain']","['Anesthesiology', 'Hospitalist Medicine', 'Internal Medicine', 'Pediatrics', 'Surgery (General)', 'Pain Management']",3623,Dr. Patrick J. McGrath,False,
Predicts intracranial traumatic CT findings in patients with minor head trauma.,chip-ct-head-injury-patients-prediction-rule,CHIP (CT in Head Injury Patients) Prediction Rule,[],CHIP Prediction Rule,Predicts need for CT in minor head trauma.,Trauma,Neurologic,"['head trauma', 'trauma', 'head injury', 'CT head', 'trauma imaging', 'intracranial hemorrhage', 'intracranial bleed']","['Diagnosis', 'Rule Out']","['Dizziness', 'Headache', 'Injury/Trauma', 'Head Injury']","['Critical Care (Neurologic)', 'Emergency Medicine', 'Neurology', 'Neurosurgery', 'Radiology']",3952,Dr. Marion Smits,False,
Predicts operative time of laparoscopic cholecystectomy.,choles-score-duration-laparoscopic-cholecystectomy,CholeS Score for Duration of Laparoscopic Cholecystectomy,[],CholeS Score,Lap chole duration. ,"['Cholangitis', 'Cholecystitis']",Gastrointestinal,"['Choles score', 'lap chol duration']",Treatment,"['Abdominal Pain', 'Jaundice']","['Critical Care', 'Gastroenterology', 'Hepatology', 'Internal Medicine', 'Surgery (General)']",10030,Dr. Ewen A. Griffiths,False,
Predicts large vessel occlusion (LVO) and severe stroke in patients with stroke symptoms.,cincinnati-prehospital-stroke-severity-scale-cp-sss,Cincinnati Prehospital Stroke Severity Scale (CP-SSS),"Benjamin Kummer, MD",CP-SSS,LVO and severity in stroke.,Stroke/TIA,"['Cardiac', 'Neurologic']","['stroke', 'ischemia stroke', 'cva', 'gcs', 'stroke scale', 'cp-ss', 'ems', 'field', 'prehospital', 'paramedic', 'emt']",Diagnosis,"['AMS', 'Neurologic Deficit', 'Weakness']","['Cardiology', 'Emergency Medicine', 'Neurology']",4009,Dr. Brian S. Katz,True,
The CIWA-Ar objectifies severity of alcohol withdrawal.,ciwa-ar-alcohol-withdrawal,CIWA-Ar for Alcohol Withdrawal,"['Jonathan Avery, MD', 'Katherine E. Taylor, MD']",CIWA-Ar,Objectifies alcohol withdrawal severity.,"['Alcoholism', 'Drug/Alcohol Use']",Neurologic,"['etoh', 'withdrawl', 'seizure', 'alcohol', 'booze', 'liquor', 'beer']",Prognosis,Intoxication/Overdose,"['Anesthesiology', 'Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Psychiatry']",1736,Dr. Edward M. Sellers,True,1736.1
"Determines probability of HIV patients developing CKD in the next 5 years, if they take tenofivir or not.",ckd-prediction-hiv-patients,CKD Prediction in HIV+ Patients,[],HIV CKD Prediction,5 year likelihood of CKD in HIV.,"['HIV/AIDS', 'Renal Failure']","['Infectious', 'Renal']","['CKD', 'ESRD', 'ESRF', 'HIV', 'HCV', 'predict']",Prognosis,"['Agitation', 'AMS', 'Fever', 'Weakness']","['Infectious Disease', 'Internal Medicine', 'Nephrology', 'Primary Care']",2202,Dr. Rebecca Scherzer,False,
"Estimates GFR based on serum creatinine, serum cystatin C, or both.",ckd-epi-equations-glomerular-filtration-rate-gfr,CKD-EPI Equations for Glomerular Filtration Rate (GFR),"Omar Aziz, MD",CKD-EPI Equations for GFR,Estimates GFR.,"['Diabetes Mellitus', 'Kidney Failure', 'Renal Failure']","['Renal', 'Urinary']","['CKD', 'CKD EPI', 'kidney failure', 'renal failure', 'chronic renal failure', 'CRF', 'GFR', 'glomerular filtration rate', 'cystatin C', 'cystatin', 'creatinine', 'cr', 'scr', 'egfr', 'estimated gfr']",Formula,"['AMS', 'Extremity Edema', 'Weakness']","['Nephrology', 'Pharmacy']",3939,"['Dr. Andrew S. Levey', 'Dr. Lesley A. Inker', 'The CKD Epidemiology Collaboration (CKD-EPI)']",True,
Predicts mortality in acute-on-chronic liver failure.,clif-c-aclf-acute-chronic-liver-failure,CLIF-C ACLF (Acute-on-Chronic Liver Failure),"Callum Wood, MB, BChir, MRCP (UK)",CLIF-C ACLF,Mortality in liver failure.,"['Cirrhosis', 'Hepatitis', 'Hepatocellular Carcinoma']","['Gastrointestinal', 'Hepatic']","['CLIF-C ACLF', 'CLIF-C ACLF (Acute-on-Chronic Liver Failure)', 'clif aclf', 'clif-of', 'clif-c of', 'clif organ failure', 'aclf', 'acute on chronic liver failure', 'liver failure', 'aclf score', 'clif aclf score', 'clif-c aclf score']",Prognosis,"['Abdominal Pain', 'Jaundice']","['Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine']",10240,Dr. Rajiv Jalan,True,
Determines severity of rheumatoid arthritis using only clinical data.,clinical-disease-activity-index-cdai-rheumatoid-arthritis,Clinical Disease Activity Index (CDAI) for Rheumatoid Arthritis,[],CDAI for Rheumatoid Arthritis,"RA Severity, clinical data only.",Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['RA', 'clinical', 'rheumatoid arthritis']",Prognosis,Joint Pain,"['Orthopedics', 'Rheumatology']",2177,Dr. Daniel Aletaha,False,
Identifies febrile neutropenia patients at low risk of serious complications.,clinical-index-stable-febrile-neutropenia-cisne,Clinical Index of Stable Febrile Neutropenia (CISNE),[],CISNE,Low-risk febrile neutropenia.,"['Cancer', 'CML', 'HIV/AIDS']","['Immunologic', 'Infectious', 'Oncologic']","['cisne', 'clinical index', 'clinical index of stable febrile neutropenia', 'stable febrile neutropenia', 'febrile neutropenia']",Diagnosis,Fever,"['Critical Care', 'Family Practice', 'Hematology and Oncology', 'Infectious Disease', 'Internal Medicine']",3997,"['Dr. Alberto Carmona-Bayonas', 'Dr. Paula Jiménez Fonseca']",False,
Assists in diagnosing ventilator-associated pneumonia by predicting benefit of pulmonary cultures.,clinical-pulmonary-infection-score-cpis-ventilator-associated-pneumonia-vap,Clinical Pulmonary Infection Score (CPIS) for Ventilator-Associated Pneumonia (VAP),[],CPIS for VAP,Diagnosis of VAP by predicting benefit of pulmonary cultures.,"['Pneumonia', 'COVID-19', 'Coronavirus']","['Infectious', 'Respiratory']","['VAP', 'culture', 'pulm cx', 'BAL', 'covid', 'covid-19', 'coronavirus']",Diagnosis,Shortness of Breath,"['Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",3278,Dr. Carolina A.M. Schurink,False,
Assess for red-green color blindness.,color-vision-screening-ishihara-test,Color Vision Screening (Ishihara Test),"['Edmund Tsui, MD', 'Priya Patel, MD']",Ishihara Test,Color blindness. ,Any/All,"['Neurologic', 'Ophthalmic']","['Ishihara test', 'color blind test', 'color vision screening', 'colorblind', 'colorblindness', 'color blindness']",Diagnosis,"['Any/All', 'Vision Loss']","['Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Ophthalmology', 'Primary Care']",10061,Dr. Shinobu Ishihara,True,
"<span id=""docs-internal-guid-019132b0-7fff-73e8-12e1-5708394899de"">Screens for suicidal ideation and behavior.",columbia-suicide-severity-rating-scale-c-ssrs,Columbia Suicide Severity Rating Scale (C-SSRS Screener),"Joshua Salvi, MD, PhD",Columbia Suicide Severity Rating Scale Screener,Suicidal ideation and behavior.,Depression/Suicidality,Psychiatric,"['Suicide', 'suicidal', 'suicide ideation', 'columbia scale', 'c ssrs', 'cssrs', 'suicide severity', 'ed-safe', 'ed safe', 'suicidal ideation']",Diagnosis,"['Anxious', 'Depressed', 'Suicidal']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Psychiatry']",10169,Dr. Kelly Posner,True,
Establishes ability to detect delirium in high risk settings.,confusion-assessment-method-icu-cam-icu,Confusion Assessment Method for the ICU (CAM-ICU),"Kamal Medlej, MD",CAM-ICU,Monitors delirium in ICU patients.,Delirium,"['Neurologic', 'Psychiatric']","['ICU', 'CAM', 'CAM-ICU', 'delirium', 'CAMICU', 'CAM ICU']","['Algorithm', 'Diagnosis', 'Rule Out']",AMS,"['Critical Care', 'Emergency Medicine', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Neurology', 'Psychiatry']",1870,Dr. Sharon K. Inouye,True,1870.1
"<span id=""docs-internal-guid-09b40bf6-7fff-1350-3356-cdad2c5106bb"">Quantifies impact o<span id=""docs-internal-guid-09b40bf6-7fff-1350-3356-cdad2c5106bb"">f COPD symptoms on patients' overall health.",copd-assessment-test-cat,COPD Assessment Test (CAT),"Sachin Patel, MD",COPD Assessment Test (CAT),COPD symptom impact.,"['COPD', 'Asthma']",Respiratory,"['Respiratory', 'COPD', 'CAT', 'lungs', 'emphysema', 'pulmonary', 'asthma', 'peak flow', 'expiratory', 'bronchitis', 'health status', 'dyspnea', 'chest tightness', 'activities of daily living', 'ADLs']",Prognosis,"['Shortness of Breath', 'Dyspnea', 'Cough']","['Pulmonology', 'Critical Care', 'Emergency Medicine', 'Geriatrics', 'Internal Medicine', 'Primary Care', 'Hospitalist Medicine', 'Family Practice']",10161,Dr. Paul W. Jones,True,
Screens for pediatric delirium.,cornell-assessment-pediatric-delirium-capd,Cornell Assessment of Pediatric Delirium (CAPD),"Derek Tam, MD, MPH",Cornell Assessment of Pediatric Delirium (CAPD),Pediatric delirium screen.,Delirium,"['Neurologic', 'Psychiatric']","['Peds', 'pediatric delirium', 'delirium screen', 'pediatric delirium screen', 'capd', 'Cornell Assessment of Pediatric Delirium']",Diagnosis,"['Agitation', 'AMS']","['Family Practice', 'Pediatrics', 'Critical Care', 'Emergency Medicine', 'Psychiatry', 'Neurology']",10172,"['Dr. Chani Traube', 'Dr. Gabrielle Silver']",True,10172.1
"<span id=""docs-internal-guid-bcff70ba-7fff-2593-a248-44fcb57ad9bf""><span id=""docs-internal-guid-bcff70ba-7fff-2593-a248-44fcb57ad9bf"">Assesses dysfunctional anxiety associated with the COVID-19 crisis.<span id=""docs-internal-guid-bcff70ba-7fff-2593-a248-44fcb57ad9bf"">",coronavirus-anxiety-scale-cas,Coronavirus Anxiety Scale (CAS),[],Coronavirus Anxiety Scale (CAS),COVID-19 anxiety assessment.,"['Anxiety', 'COVID-19', 'Coronavirus']",Any/All,"Coronavirus Anxiety Scale (CAS), COVID-19, coronavirus, covid-19 anxiety scale, coronavirus anxiety scale, coronavirus anxiety, covid-19 anxiety, covid-19, anxiety scale, anxiety, CAS",Diagnosis,"['Altered Mental Status', 'Anxious', 'Dizziness', 'Nausea']","['Family Practice', 'Hospitalist Medicine', 'Primary Care']",10306,Dr. Sherman A. Lee,False,
Assesses adequacy of response to platelet transfusion.,corrected-count-increment-cci-platelet-transfusion,Corrected Count Increment (CCI) for Platelet Transfusion,"['Ronald George Hauser, MD', 'Christopher Tormey, MD', 'Alex Ryder, MD, PhD']",Corrected Count Increment (CCI) ,Platelet transfusion response.,"['Anemia', 'Bleeding/Hemorrhage', 'GI Bleeding', 'Trauma']",Hematologic,"['CCI', 'corrected count', 'count increment', 'plt', 'platelet transfusion', 'transfusion', 'massive transfusion']",Formula,"['Bleeding', 'Weakness']","['Hematology and Oncology', 'Pathology', 'Surgery (Trauma)', 'Transfusion Medicine']",4034,[],True,
"Corrects the QT interval for heart rate extremes (choose from Bazett, Fridericia, Framingham, or Hodges formulas).",corrected-qt-interval-qtc,Corrected QT Interval (QTc),[],Corrected QT (QTc),Corrects QT interval.,"['Arrhythmia', 'Hyperkalemia', 'Hypocalcemia', 'Hypomagnesemia', 'Ingestion/Overdose', 'COVID-19', 'Coronavirus']",Cardiac,"['ekg', 'cardiology', 'cards', 'prolongation', 'q-t', 'qtcf', 'qtcl', 'bazzett', 'fredericia', 'Bazett', 'Fridericia', 'Framingham', 'Hodges', 'covid19', 'covid-19', 'covid 19', 'covid', 'coronavirus']",Formula,"['Palpitations', 'Syncope']","['Cardiology', 'Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Toxicology']",48,"['Dr. Alex Sagie', 'Dr. Louis S. Fridericia', 'Dr. Henry Cuthbert Bazett']",False,
